,sim 0_0_1000_100000_100000 - step_10000.csv,sim 0_0_1000_1000_0 - step_10000.csv,sim 0_0_1000_100000_100 - step_10000.csv,sim 0_0_1000_100_10000 - step_10000.csv,sim 0_0_1000_1000000_10000 - step_10000.csv,sim 0_0_10000_10000_1000 - step_10000.csv,sim 0_0_10000_100_100 - step_10000.csv,sim 0_0_100000_100_0 - step_10000.csv,sim 0_0_10000_10000_0 - step_10000.csv,sim 0_0_1000_1000000_10 - step_10000.csv,sim 0_0_1000_100_100000 - step_10000.csv,sim 0_0_10000_1000_100 - step_10000.csv,sim 0_0_1000_100_1000 - step_10000.csv,sim 0_0_1000_100000_1000000 - step_10000.csv,sim 0_0_10000_1000000_10 - step_10000.csv,sim 0_0_10000_10_100000 - step_10000.csv,sim 0_0_100000_10_100 - step_10000.csv,sim 0_0_100000_0_0 - step_10000.csv,sim 0_0_10000_100_10 - step_10000.csv,sim 0_0_10000_0_100 - step_10000.csv,sim 0_0_1000_1000000_0 - step_10000.csv,sim 0_0_100000_10_0 - step_10000.csv,sim 0_0_1000_1000_1000 - step_10000.csv,sim 0_0_100000_10_100000 - step_10000.csv,sim 0_0_10000_0_10 - step_10000.csv,sim 0_0_10000_0_100000 - step_10000.csv,sim 0_0_10000_10000_100000 - step_10000.csv,sim 0_0_1000_1000_10000 - step_10000.csv,sim 0_0_10000_100000_100 - step_10000.csv,sim 0_0_10000_1000_1000 - step_10000.csv,sim 0_0_100000_0_100 - step_10000.csv,sim 0_0_10000_1000_100000 - step_10000.csv,sim 0_0_100000_10_1000 - step_10000.csv,sim 0_0_10000_1000_0 - step_10000.csv,sim 0_0_1000_1000000_1000000 - step_10000.csv,sim 0_0_10000_10_1000000 - step_10000.csv,sim 0_0_1000_10000_100000 - step_10000.csv,sim 0_0_10000_0_1000000 - step_10000.csv,sim 0_0_1000_100000_10 - step_10000.csv,sim 0_0_10000_0_0 - step_10000.csv,sim 0_0_100000_10_10 - step_10000.csv,sim 0_0_1000_100000_0 - step_10000.csv,sim 0_0_10000_1000000_100000 - step_10000.csv,sim 0_0_1000_10000_100 - step_10000.csv,sim 0_0_10000_1000000_1000000 - step_10000.csv,sim 0_0_100000_0_1000 - step_10000.csv,sim 0_0_10000_10_1000 - step_10000.csv,sim 0_0_1000_10000_1000000 - step_10000.csv,sim 0_0_100000_0_100000 - step_10000.csv,sim 0_0_10000_100000_0 - step_10000.csv,sim 0_0_1000_100000_1000 - step_10000.csv,sim 0_0_10000_1000_10 - step_10000.csv,sim 0_0_1000_10000_10 - step_10000.csv,sim 0_0_1000_1000_10 - step_10000.csv,sim 0_0_10000_100000_1000000 - step_10000.csv,sim 0_0_10000_1000000_1000 - step_10000.csv,sim 0_0_10000_100_1000 - step_10000.csv,sim 0_0_10000_100000_10000 - step_10000.csv,sim 0_0_10000_100000_100000 - step_10000.csv,sim 0_0_10000_100000_1000 - step_10000.csv,sim 0_0_10000_0_1000 - step_10000.csv,sim 0_0_10000_1000000_0 - step_10000.csv,sim 0_0_10000_10_10 - step_10000.csv,sim 0_0_100000_0_1000000 - step_10000.csv,sim 0_0_10000_1000000_100 - step_10000.csv,sim 0_0_10000_1000000_10000 - step_10000.csv,sim 0_0_1000_100_10 - step_10000.csv,sim 0_0_100000_100_10 - step_10000.csv,sim 0_0_1000_100_100 - step_10000.csv,sim 0_0_10000_10_10000 - step_10000.csv,sim 0_0_1000_1000_1000000 - step_10000.csv,sim 0_0_10000_1000_1000000 - step_10000.csv,sim 0_0_1000_100000_10000 - step_10000.csv,sim 0_0_100000_10_10000 - step_10000.csv,sim 0_0_10000_100_1000000 - step_10000.csv,sim 0_0_10000_100_0 - step_10000.csv,sim 0_0_1000_1000_100 - step_10000.csv,sim 0_0_100000_0_10 - step_10000.csv,sim 0_0_10000_10000_10000 - step_10000.csv,sim 0_0_10000_10_0 - step_10000.csv,sim 0_0_10000_0_10000 - step_10000.csv,sim 0_0_10000_100_10000 - step_10000.csv,sim 0_0_10000_10000_1000000 - step_10000.csv,sim 0_0_10000_100000_10 - step_10000.csv,sim 0_0_100000_0_10000 - step_10000.csv,sim 0_0_10000_10_100 - step_10000.csv,sim 0_0_100000_10_1000000 - step_10000.csv,sim 0_0_1000_1000_100000 - step_10000.csv,sim 0_0_1000_10000_1000 - step_10000.csv,sim 0_0_1000_1000000_100000 - step_10000.csv,sim 0_0_1000_1000000_100 - step_10000.csv,sim 0_0_10000_10000_100 - step_10000.csv,sim 0_0_1000_10000_10000 - step_10000.csv,sim 0_0_1000_1000000_1000 - step_10000.csv,sim 0_0_1000_10000_0 - step_10000.csv,sim 0_0_10000_1000_10000 - step_10000.csv,sim 0_0_1000_100_1000000 - step_10000.csv,sim 0_0_10000_10000_10 - step_10000.csv,sim 0_0_100000_100_100 - step_10000.csv,sim 0_0_10000_100_100000 - step_10000.csv
sim 0_0_1000_100000_100000 - step_10000.csv,0.0,521.7259818421838,45.16228441265132,146.17467866467828,57.758082259508235,38.77354930663283,196.721798671182,753.0253104019304,557.7530653508139,482.66167964701685,178.46212859714888,649.3644916534669,181.26320589528083,685.8639379555683,443.9214195755931,430.86128628366436,527.6507879167691,726.4713336319024,725.9579132264191,1203.4974343713436,588.7326873099533,642.99572982344,86.15821532794503,481.2657847125308,762.7555591885115,1260.822769770348,249.2876143287097,244.76236162472773,53.16626095358261,279.7948058669255,1172.3560573863476,261.02188783908747,458.51380983123227,911.7533262298813,42.31055512781785,462.80102722141925,557.5535554114864,1260.1116512946921,454.0354184911655,729.3104203933317,717.0877831391183,516.954032953395,53.26392425603991,54.54870206693314,42.00523706807556,1247.1523554088305,434.9587374232658,635.4447206240477,1225.376784345086,504.5668885603486,46.5174394716338,739.0782867578871,423.2493139273575,386.3172408783527,762.2489013229172,53.07214349323904,177.2941119210358,51.04400034629731,32.33916071869999,75.76739343243281,1318.1412154751722,514.8934065757785,658.5199848257772,1264.0896484046227,52.94173247340189,51.17853595132462,713.15365617797,711.7589784962703,165.54790337891933,466.1580983905264,271.151032980841,297.29762100084685,61.47169887684907,465.649811937677,157.9452740890755,756.6209604491718,29.598333350593414,725.6374497602408,98.287922417966,624.7955157366912,1268.1171949843676,143.49768786961886,251.0956323276308,384.0431454310357,1341.2730110500283,535.2264793349347,416.83352196370316,295.494632172579,64.61811228986785,47.75388367704882,75.90249660171003,54.83441436143002,35.09773565851001,43.38715616196849,523.4944988345587,289.4204088011173,189.8405149122097,390.16385512240066,188.95125839543795,163.42843965256384
sim 0_0_1000_1000_0 - step_10000.csv,521.7259818421838,0.0,496.03355628428096,480.6952034224929,484.3422008303041,535.2189994939026,562.516178648743,864.8988544334127,88.63533187890839,483.1886931649772,489.27228207435894,876.0928850662482,431.1133375723768,907.9783972268066,441.0389404534899,355.0369743234395,228.84919759700801,224.29760463147886,712.8790913431077,791.2412448697689,81.54090956154643,170.50498277266414,590.1942053780364,348.77766209458065,273.6628906544721,854.0035683571725,483.28633314542964,504.80031656229704,511.8420725705043,524.4143543135593,774.9728632662819,369.5327179602643,359.98488010922824,926.7319951379158,528.8271204711895,349.02836263915134,771.3276801758608,843.3315727283609,459.8692208992287,242.3645941466282,712.2655739747744,53.54385228361908,492.2689784712158,499.8094969218426,542.8659141040234,831.3010087329151,323.6585728690846,850.2055591083152,812.0837232679886,122.56576434454482,520.0680412634455,845.2180830653841,440.01136925744237,437.7232823855958,980.0788969207259,499.52465776487486,491.8904018163811,508.5706253654343,539.1004281522568,498.6396319189419,881.7413402927522,66.44160864104938,616.0189034303402,850.5457858202576,501.20906559289904,523.4302198856625,715.4976250067597,685.2697100981715,551.3847595900816,334.7899115897542,507.6353679831302,450.1412246396014,492.3232728002969,361.8969192296793,481.50129291934303,832.0724038737466,531.4173310475649,231.26346453864673,592.0700869555174,219.8559296962519,852.9511514924174,507.8979796021812,501.92176601470044,425.9836898124852,905.7590077056972,242.41352486586416,323.68315716403305,512.6999068671087,486.99258620031264,500.7360333181638,501.0811225191478,519.0184197013981,529.854588254449,507.5454859098211,38.82378300668267,444.6489074647927,512.8427419869205,431.4705147879074,557.1185923334547,475.98269311170657
sim 0_0_1000_100000_100 - step_10000.csv,45.16228441265132,496.03355628428096,0.0,111.7127902837869,35.40062837341988,49.9429045338978,172.1797740258208,739.9462772090177,528.4043808465008,451.6950184527997,144.93893347607818,639.8553691667453,146.5585899241412,677.920480380988,405.610114108727,410.95900208570487,495.0035431971314,711.0273200928048,697.6735392671834,1191.2479029411675,565.4838270732962,614.948059924989,110.00944195866441,460.3700469923639,746.8309337459737,1248.521548909452,239.15349914793939,236.96820617655052,31.871052217335837,272.2993982609958,1160.0072652529725,242.4439198393492,438.3250384868276,897.2433086001054,40.26047914794911,439.197121082384,546.5229067141405,1247.5759972496528,419.1055751266868,713.4830711420598,705.2006123106204,487.65541784056137,30.96060200936434,33.905401773975626,61.02765250573476,1234.661769137649,414.5868896014356,625.1462280849961,1213.054070563471,476.64077283551325,44.89229313132228,711.094102053087,384.4638974197658,349.03818850421794,755.0013062389899,32.987299130412936,141.2853073303717,43.077635687719116,48.25431881892011,49.95306211445316,1304.1782848449373,486.2697753762389,638.1463100907723,1251.8656177264522,30.333050554945746,40.69781738068852,685.4438887918259,682.5304197208237,139.25878476345633,443.56682235597293,262.582628617875,294.8355410635436,41.0414927719396,457.604345936644,125.71130904765238,737.34418823018,47.77403292766852,709.6921977568106,117.96900122745107,594.6245023578024,1254.6942893537116,120.2156336293876,244.02584192949368,351.6809978670553,1328.0633332635446,502.56539516475107,396.6546278725291,288.46092515032177,46.19216761759098,39.910601344389214,50.912915830999246,54.173628376760725,49.004102956004836,43.1779391892276,497.9799461447698,284.3082548007606,166.31129520967576,351.94410270142464,162.09349520429302,132.16028716372767
sim 0_0_1000_100_10000 - step_10000.csv,146.17467866467828,480.6952034224929,111.7127902837869,0.0,111.13500322757973,147.134988260676,102.32537734249522,650.6677320126776,502.0432899081258,423.69616594914345,48.20317605811947,559.0348606655647,70.52872928706181,598.6185088026925,369.67825318865266,384.79976096759015,414.3561312750229,701.8932298932048,602.9800158388205,1174.2841748082774,553.3298210363702,550.4325578391256,209.53298311708457,421.54063864508356,742.7097850159746,1231.8928297241455,165.3284279620341,169.81263161121623,111.1173781882857,201.7349357653696,1142.3883615984682,194.5493246530769,410.29772351393416,817.0656873686145,138.8265161596335,388.49188329106323,470.1592008985256,1231.252889253928,398.04832170518864,709.388455049453,718.6466056902274,456.34360576424547,110.01128526302968,114.16215098230036,165.4551711471722,1218.0990539759825,389.5511406430869,547.4273798601427,1196.7062771894603,463.14425096248004,141.39258005954346,621.0287606639035,383.19970912309134,320.81603076797063,677.7834363353551,117.96509527105422,46.90207666913659,122.15962631238358,142.9200442644644,117.29850398210738,1288.7202919077547,444.96236686060644,654.5173882636262,1235.36420859857,113.90327496755935,134.73212399712492,590.5190412301487,588.8377558342581,84.88424784708748,390.8832505632373,190.7554192237315,240.5760352312856,120.27086998279069,439.2026566826743,52.010068145850454,647.5485803465409,144.67804483783436,704.4153905583192,212.27452523143305,513.6394034662177,1237.4130336400128,40.6237864742765,183.04144980886878,353.8554919225666,1312.4685089595307,415.8541068454295,375.2193736215982,218.3277442909291,123.59701618066939,124.59609240704512,93.1102062203365,141.42063828937685,148.74788619039134,137.68639897935503,479.9531381685526,226.51909565979275,73.21604087594642,290.86861253824605,98.4397254451426,47.15116376741602
sim 0_0_1000_1000000_10000 - step_10000.csv,57.758082259508235,484.3422008303041,35.40062837341988,111.13500322757973,0.0,61.31598491836147,179.6609577932858,733.5624872635084,518.1366142175223,462.3655175507211,144.1207901515806,648.7284056743356,136.75919264046198,685.5563393748862,413.8045430537436,397.04690475112227,486.5674761577335,691.8282381940459,700.356147475317,1167.847667356294,552.5818604206016,603.4182621559835,120.11391622041725,447.0253343761732,728.2452503058788,1225.141224029879,245.51988284856395,243.8818903149012,45.2614047864524,280.0868289065622,1137.1162553669478,240.42569898061154,423.77116090697575,884.0066809765437,57.05282344126598,426.86677994362645,555.0034561041386,1224.1806104732311,428.703144281826,694.9753988629676,712.2928779390592,476.3789856359559,37.58496194062948,44.29852398449004,71.09044787109515,1211.5273830836181,399.9544879267338,635.6087853683815,1189.4838649918252,465.1767657934579,51.32290439315373,714.291707703704,391.5894499448021,358.5596870024061,763.6323165908367,38.537345839511275,142.81329732455183,45.762710960344556,61.5691425087093,48.758126227917735,1281.7257499687253,475.4190493701482,643.4104503481253,1228.2277324912693,39.906514601964524,54.96024042738618,688.2081065996394,685.6906754412727,152.30128706063778,430.82940863873466,270.5393288519703,300.3152907200988,41.64485395164116,434.710370269137,120.86902437951757,724.9696375372446,58.639083743492385,691.0672758364462,124.2489579327165,583.7170308378815,1232.5143202537108,125.66104541999471,253.9612108058269,358.81788131032624,1304.8512251554077,494.456523863251,383.7136240867778,294.3594674674762,41.73759513566574,44.80659488593566,65.23965405277661,58.00818867622385,58.208361173720924,43.47496708002039,486.1638933529498,291.21292505584125,163.56626502779585,355.07394584796754,181.69232735334091,125.75763044200883
sim 0_0_10000_10000_1000 - step_10000.csv,38.77354930663283,535.2189994939026,49.9429045338978,147.134988260676,61.31598491836147,0.0,190.6918987447123,754.9927106159187,570.237044526448,473.1746711254725,178.41921397262288,633.894845578086,182.75049727089038,672.1643629841777,433.7734336580171,449.1236116359502,535.7451928827588,742.5648645825227,719.1787929952552,1218.4229152990176,604.9427992524846,655.3698646045077,75.64260512614207,497.72478468096784,778.8951221056125,1276.1306553682623,252.04466529950713,233.31441264288569,43.564808273640345,267.83405729059456,1186.6080468284367,273.848861611488,476.1803377362708,916.9400201000187,26.477201030587672,478.872823638358,544.0259533895551,1275.6161239042851,444.1391600123202,745.4341249597992,716.3336693355,529.4280899956472,60.93917284368407,50.773087144151674,40.064251267052974,1262.4679669640923,454.69428293708717,621.1548647792355,1240.8464862765402,515.9198448415773,34.614364469331136,737.4269240186591,413.09498679953305,376.5412990535843,749.8286987989998,49.124426293057695,173.97143026204782,37.554315761041906,25.94583331218893,63.033408431763135,1333.845542059464,528.204576138983,653.5690168380568,1279.4678198743775,53.02121428068282,41.22504160725474,706.440607145233,704.1464330802901,160.69832482583868,482.0845144504909,259.2510372207418,308.4122216727834,56.02367375861495,478.25100179061616,156.28312770896193,766.007795912059,29.01288453931042,741.7683830774668,97.0852252104309,635.970575838981,1282.4986560999207,141.67496424552832,244.2576308137403,374.2139394612841,1357.2189669625225,542.4771786394267,434.65188407945675,286.76822245510107,61.991332753714694,41.43128718945513,75.25648500119617,49.914188380722884,42.04295048941589,36.759406918099906,537.8491904423918,290.64611298507214,186.39138872289055,381.06964421822863,186.88989665939133,166.9180851576788
sim 0_0_10000_100_100 - step_10000.csv,196.721798671182,562.516178648743,172.1797740258208,102.32537734249522,179.6609577932858,190.6918987447123,0.0,652.0500657696427,585.1461092540691,384.77425599229076,80.61158491373716,524.5253564707788,153.08670156227092,562.9865390041347,342.0773382073814,463.2717427856975,455.64003824878216,782.5607846123819,538.3014102155792,1248.5741786220924,634.5189402789958,624.3465068634808,238.51049088214074,500.2111664832666,828.1334675626197,1306.3984159313727,190.372544126108,200.3865974759654,162.54985577335995,221.58904385634543,1216.5211369572578,263.43770498097723,489.13093030578483,834.5281126948481,178.2778163357966,465.45398895218443,444.50368764111107,1305.926392468501,366.1461872810537,794.373335234442,667.8065840689674,537.5274404336516,176.31239277551572,167.8259754956924,205.11084672360556,1292.6526346729227,468.3389661101815,519.0938616999164,1271.2370234964856,551.7985483717409,187.3676716231786,557.6840273184492,364.72078973753423,292.9630324613444,644.1068975661557,178.88638075872882,79.15259765404778,184.29938460472425,185.51385659515432,184.13174876109693,1364.6161413410628,525.7737796945806,613.3211159151138,1309.8542863817229,162.10160375392363,190.59458444352362,525.9370882959381,526.2203953978492,46.358333170819506,467.87547431961076,210.6796359102223,281.8802022478425,183.87538562018867,513.023290912556,104.7202812941351,657.2750796086361,188.01574474096367,788.104570653726,242.61015771445184,562.000536134056,1312.3443897053128,86.71613336401882,211.37679515561672,330.0502974843462,1387.81618686616,443.89277114503665,454.45618301057226,236.36026476135586,180.20512798747967,187.06052348459525,147.3094998637074,187.80756956462307,189.74431959321694,201.25679527248712,562.152220722955,259.8550528605432,82.773104730688,278.0913383903035,40.56572275197266,107.72432872446373
sim 0_0_100000_100_0 - step_10000.csv,753.0253104019304,864.8988544334127,739.9462772090177,650.6677320126776,733.5624872635084,754.9927106159187,652.0500657696427,0.0,917.8289712858021,950.3031316782694,633.0524267730435,407.60068035096725,690.373847982061,400.6708603451914,905.5551184626245,579.2020091986999,717.2364298004122,911.6786156409034,773.0150902722361,1037.6045973117116,919.2685364875404,737.0159017682374,815.2423538180369,596.9534484684915,1035.141700697583,1109.2306076677262,523.3399069284819,537.0284396502987,736.8072347486101,545.2733074835079,987.4400916764303,548.2367328946737,590.5690811424917,194.0643756579843,753.2460963957787,576.1960477969479,420.0718346814632,1120.7186415010497,940.112254225659,1023.3663168652363,1219.2306495426537,848.16180174105,736.4234199607362,746.2475217606243,779.0976187917443,1095.2700828725415,609.4145619870598,419.2625587946559,1072.917355178292,957.0370432612157,742.3240082965741,633.6308268932079,933.7982552338856,879.8296869226537,407.34968878833473,723.5407623714896,645.9802887036753,727.1549372049695,755.2476919133837,719.7205447388992,1177.3084256984287,852.5513278560001,1176.6655455357532,1101.2554350352123,740.9622947065478,752.9070259665407,743.9888581857203,791.9723910676806,677.2493682715295,584.6386100786782,539.0790785660765,496.62405446054345,735.7024487680984,603.1567965400523,671.8276598226344,67.23398267172291,753.4394562419618,1003.6094396554015,822.5242454166006,672.0557346175747,1069.2282051377363,651.7104507820596,565.9005066082485,925.2384342685052,1194.274762465243,712.0397220584947,600.3948833654623,526.1573548346937,750.3325515759378,726.7756744615507,719.075685828416,769.8686845868469,767.6525991473496,758.1134939538669,870.5225851168398,545.1341160801778,602.4539518185364,845.5898779373492,648.7209593044452,644.5794988081954
sim 0_0_10000_10000_0 - step_10000.csv,557.7530653508139,88.63533187890839,528.4043808465008,502.0432899081258,518.1366142175223,570.237044526448,585.1461092540691,917.8289712858021,0.0,493.29410689483757,511.27785416195627,915.0076611714511,452.1841882761129,947.815039896063,455.908062108277,426.1483873802725,253.4526614642528,211.4078712109433,738.5702565268492,809.5344345692844,76.17766791193444,212.28169132309742,626.5213618314793,415.34343531437,247.73245954613157,879.9214826242512,507.5722978562117,529.109974607972,543.3727880738642,548.7901329315689,804.1350815641603,428.62622326494164,427.39110043709724,983.5868549605733,563.1264507656806,409.8419897160014,810.9900585301459,860.8722783000418,473.6211589587322,215.51917128152505,659.3609461856331,81.33982402761191,524.2527918947831,531.8660262622196,578.6623697402873,849.2386637239102,388.6559142951183,890.6226209479214,834.4855877605102,73.73012987265358,556.102479690659,878.3820467980263,447.2341221321712,454.0875017198665,1020.8837447354554,533.3750487962031,513.4911829519962,543.2223262329213,572.525831495558,529.117093153647,892.8631548304381,80.26570762785059,556.173435692713,868.6270010232556,531.3989648716623,558.4281689196579,738.7842995002424,708.7369980244631,572.8924853533123,399.00053247349433,532.0121445071051,506.8633115912825,523.5243130214863,440.2710326930746,502.7938688485569,885.8584244453976,566.5730113460284,206.11553503992585,629.3096874262502,265.54364916687047,871.6059245930476,529.2979998247254,526.947719979127,435.81741993554243,914.7138480537708,270.9541654700464,393.1766363705473,540.930349392528,522.5815826523152,535.9032230552558,530.5579190907409,553.5892752159405,565.2181732056798,542.6280628624162,87.95677339758038,502.52840451684625,536.1735479537259,449.30859717324233,580.1379085292439,497.20205381964945
sim 0_0_1000_1000000_10 - step_10000.csv,482.66167964701685,483.1886931649772,451.6950184527997,423.69616594914345,462.3655175507211,473.1746711254725,384.77425599229076,950.3031316782694,493.29410689483757,0.0,403.4373260013404,771.2224640898394,378.296862651222,809.7426279088415,70.95731325638211,689.9708074710777,402.1792797845783,698.4543135636895,401.505636068122,1271.3790553753468,554.6681826367536,561.983200771759,511.2288259285866,661.5658469424619,728.0889640145726,1333.0548913402426,548.7803505685224,558.3260673713179,443.17377243350415,581.1597194400667,1252.6449683513476,607.2216660168261,667.8418181016692,1065.8066457429616,466.10140092559624,643.8825281683015,716.7090054080163,1323.6587496965717,55.323844919639534,694.0689710145454,300.40171234480397,462.61359651358043,458.3833488168313,436.78616648201256,491.30261957225355,1311.910025876859,644.2315610083989,784.2288155224309,1291.578850795023,452.49359800645465,475.2467918763618,605.5429347303997,85.85261331334682,110.75136674926415,885.7078035579784,454.2858480808203,402.3179152585744,478.44888798335865,471.6587076826813,462.6086023606739,1362.764483798131,457.001514080459,256.059563773939,1330.8262975327127,452.6137310280691,479.3670216059882,414.0672554536696,362.3758820074393,380.1524201630375,636.9219006227288,571.1684639182248,642.1590233610162,464.660916857462,746.4515296337439,390.2255537985255,942.0672763894156,471.18645847441996,691.0828297764274,503.8499913788911,522.4578247075484,1333.0317783904063,429.41651369482236,569.8694773605247,119.8880670032297,1387.0491550752547,382.4197167734516,664.2589501815226,596.4825030706905,447.28881165653644,477.721115591382,439.61471647473473,457.5404697340195,471.3085837575406,478.67573920631406,485.36838922342656,622.691448378561,440.09038460907635,141.78228239914964,398.2584392139503,416.83666096105424
