CellID,X_centroid,Y_centroid,phenotype
1802,33909.07180851064,9459.949468085106,M2 macrophages
5735,32539.986577181207,9745.926174496644,stromal cells
13358,33405.89383561644,9401.568493150686,effector CD8+ T cells
16658,33833.72372372372,9488.07807807808,stromal cells
18762,32424.58630952381,9673.681547619048,stromal cells
25902,35149.9595959596,9137.804713804711,memory CD8+ T cells
28964,34838.81493506493,9105.49025974026,M2 macrophages
31323,32178.226158038146,9348.547683923704,regulatory T cells
36357,33000.984984984985,9371.38138138138,stromal cells
36378,32450.42391304348,9427.717391304348,stromal cells
39696,32753.973684210527,9852.73923444976,stromal cells
44795,32828.21577726218,9881.925754060325,stromal cells
50082,33030.7246835443,9392.148734177215,M2 macrophages
51776,33909.97342995169,9480.99033816425,M2 macrophages
51797,33346.77857142857,9615.567857142858,stromal cells
54463,32453.797222222223,9472.15,stromal cells
59141,33034.16751269036,9484.340101522845,memory CD4+ T cells
63499,32366.57055214724,9420.92944785276,stromal cells
63617,32176.53968253968,9855.325396825398,neutrophils
68989,35047.06722689076,9151.156862745098,Unknown
71478,32746.280612244896,9956.857142857143,stromal cells
72977,34586.08547008547,9221.85754985755,stromal cells
73467,34658.30588235294,9209.226470588235,NK
76732,34440.296918767504,9319.64705882353,neutrophils
77332,33822.3527696793,9305.119533527695,stromal cells
80116,32646.1,9732.20625,stromal cells
81455,32214.738927738927,9846.902097902095,stromal cells
82725,32341.484429065746,9723.0553633218,stromal cells
86531,34441.57920792079,9223.737623762376,stromal cells
90403,32186.32596685083,9469.740331491712,stromal cells
90527,34008.0017211704,9329.046471600688,B cells
90974,32252.71052631579,9873.405263157894,neutrophils
92241,33386.10535117057,9308.89297658863,stromal cells
95182,34122.40418118467,9340.432055749128,memory CD8+ T cells
95480,32620.88888888889,9673.992831541218,stromal cells
97096,32587.375690607736,9542.618784530388,M2 macrophages
97182,34218.34726688103,9181.742765273311,stromal cells
97611,32547.614555256063,9351.927223719676,regulatory T cells
97872,32859.57989690721,9905.605670103092,stromal cells
99818,33169.286689419794,9572.638225255972,stromal cells
100367,32440.896265560164,9741.21161825726,stromal cells
100664,32738.433628318584,9687.769911504423,stromal cells
101863,34066.663507109006,9387.98578199052,stromal cells
101989,32288.70460704607,9965.815718157182,stromal cells
102613,32349.12080536913,9625.389261744966,stromal cells
102693,33126.80582524272,9804.288025889968,stromal cells
103691,32318.379537953795,9471.38283828383,stromal cells
104333,34975.05084745763,9200.694915254237,stromal cells
106695,34234.805389221554,9142.353293413174,NK
107036,35081.30136986302,8955.297945205479,stromal cells
107956,33810.777272727275,9545.936363636363,stromal cells
108002,34598.784046692606,9147.846303501943,stromal cells
111920,35046.39751552795,9127.810559006211,memory CD8+ T cells
112009,34980.696682464455,8958.445497630331,NK
113093,33143.27272727273,9752.142424242424,stromal cells
114091,34764.983914209115,9231.128686327078,memory CD8+ T cells
116085,32217.805460750853,9964.058020477816,effector CD8+ T cells
117591,33061.79452054795,9512.575342465754,M2 macrophages
118368,32314.593301435405,9731.928229665073,stromal cells
120786,33637.03626943005,9538.559585492229,stromal cells
121804,34235.200743494424,9203.96282527881,stromal cells
122392,33755.22166246852,9415.846347607054,M2 macrophages
123601,34398.3487654321,9334.731481481482,effector CD8+ T cells
123608,32556.270700636946,9440.101910828023,stromal cells
123959,32114.0710900474,9772.05213270142,stromal cells
124244,33361.86495176849,9302.083601286173,stromal cells
124726,32651.72282608696,9524.35054347826,stromal cells
125626,34067.94736842105,9244.049535603715,NK
126084,33641.0,9643.77922077922,stromal cells
126173,32804.526041666664,10021.942708333334,stromal cells
126270,32441.503759398496,9524.147869674183,stromal cells
128357,32665.59663865546,9812.344537815126,effector CD8+ T cells
129173,32205.13011152416,9736.907063197026,stromal cells
129521,34612.04494382023,9228.129213483146,memory CD4+ T cells
129671,33285.7037037037,9660.543209876543,B cells
129781,33603.37132352941,9405.738970588236,stromal cells
131279,32620.20325203252,9718.821138211382,NK
131396,32978.666666666664,9439.393442622952,stromal cells
133537,33607.36,9655.816,neutrophils
136705,34022.3264781491,9277.385604113111,stromal cells
137313,35141.00471698113,8937.813679245282,stromal cells
137808,34820.133105802044,9240.33447098976,stromal cells
138687,32223.11295681063,9600.963455149502,stromal cells
139101,32849.03435114504,9711.51145038168,stromal cells
139293,32371.51104972376,9655.450276243097,stromal cells
140224,32761.930327868853,9735.758196721312,stromal cells
140918,32944.74,9809.145714285714,stromal cells
141646,34245.78593272172,9180.495412844037,NK
141719,33982.89675516224,9513.05604719764,stromal cells
142724,34835.35161290323,9221.40322580645,stromal cells
144648,32312.88253012048,9954.06626506024,stromal cells
145391,33005.781659388645,9638.248908296944,stromal cells
147877,35111.1832460733,9139.32722513089,Unknown
148693,32971.933333333334,9835.41282051282,stromal cells
149097,32421.778761061945,9893.407079646018,stromal cells
149227,32919.108280254775,9987.331210191083,regulatory T cells
149471,35166.54599406528,8881.712166172107,dendritic cells
149781,34871.824894514764,9207.369198312235,stromal cells
149887,32444.721875,9331.915625,stromal cells
149927,32770.37551020408,9756.138775510204,stromal cells
153722,32477.46551724138,9941.867816091954,stromal cells
154911,33141.57002457003,9537.864864864863,stromal cells
155208,34792.534782608695,9149.117391304348,NK
156529,32404.987138263667,9661.23151125402,M2 macrophages
157196,32812.294416243654,9643.786802030458,stromal cells
157243,32356.3487394958,9385.050420168069,stromal cells
157818,33918.637209302324,9432.786046511628,neutrophils
158278,34197.73011363636,9185.042613636364,NK
158346,33961.3583535109,9487.384987893462,stromal cells
159508,32341.077399380803,9426.585139318886,stromal cells
159874,32438.19705882353,9691.735294117649,stromal cells
160029,33676.257575757576,9377.388888888889,stromal cells
161204,33163.36811594203,9365.394202898551,stromal cells
161913,32795.01408450704,9433.467605633805,effector CD8+ T cells
163027,32190.39194915254,9326.417372881357,stromal cells
163729,34162.476744186046,9167.098837209302,M1/M0 macrophages
164611,32471.049738219896,9893.848167539269,M2 macrophages
164643,33091.91104294478,9639.720858895706,stromal cells
164663,32666.64127764128,9854.167076167076,effector CD8+ T cells
165046,32484.85635359116,9789.154696132597,stromal cells
165769,32900.90476190476,9921.65238095238,stromal cells
166132,34335.02657807309,9201.594684385382,M2 macrophages
166886,32508.05517241379,9526.406896551724,stromal cells
167094,32188.481012658227,9778.974683544304,stromal cells
167195,32606.03745318352,9523.775280898875,neutrophils
168072,32635.68103448276,9428.349137931034,stromal cells
170610,33754.12968299712,9299.801152737751,stromal cells
170939,34671.78333333333,9234.436666666666,M2 macrophages
173379,33773.25484764543,9390.37950138504,memory CD8+ T cells
175375,32465.251322751323,9538.568783068784,stromal cells
175592,32354.40760869565,9893.66847826087,stromal cells
176758,33217.36923076923,9337.307692307691,memory CD8+ T cells
178678,32278.455026455027,9845.42857142857,effector CD8+ T cells
179025,32229.050156739813,9920.078369905956,stromal cells
183230,33080.857142857145,9718.956043956045,stromal cells
183760,34557.842920353985,9141.152654867255,stromal cells
184917,32731.46461538461,9904.476923076923,stromal cells
185068,32425.156657963445,10007.086161879895,stromal cells
185118,34853.45901639344,9226.081967213117,stromal cells
187080,34215.653179190755,9208.56069364162,NK
187259,33844.39751552795,9293.22049689441,memory CD8+ T cells
188704,32417.51170568561,9970.110367892976,stromal cells
189076,34506.25806451613,9310.09677419355,neutrophils
189532,32542.1161971831,9882.728873239435,effector CD8+ T cells
190101,34272.14209115282,9167.777479892762,NK
191130,33393.704433497536,9644.857142857143,stromal cells
191425,33061.62032085562,9686.283422459894,stromal cells
191571,34955.44597701149,9123.701149425287,Unknown
192365,34796.47843137255,9308.898039215686,stromal cells
193488,33718.602739726026,9385.907534246577,stromal cells
196415,32574.098039215685,9634.960784313726,M2 macrophages
196685,32626.98791540785,9576.73413897281,stromal cells
196703,34087.071641791044,9157.134328358208,neutrophils
197716,33669.30687830688,9419.716931216932,stromal cells
198754,34898.48324022346,9206.519553072623,stromal cells
200134,33832.23981900453,9505.429864253394,stromal cells
200461,33878.56888888889,9411.484444444444,Unknown
202392,33807.836363636365,9531.963636363636,stromal cells
203143,32893.48557692308,9470.432692307691,stromal cells
205445,34934.78076923077,9066.557692307691,Unknown
206014,32774.45306122449,9984.481632653062,stromal cells
208457,33375.496932515336,9569.89263803681,NK
210925,33965.0,9437.787234042553,memory CD8+ T cells
211247,33332.46982758621,9665.06896551724,stromal cells
211547,34770.007604562736,9271.703422053231,stromal cells
212144,32549.840163934427,9718.741803278688,stromal cells
213694,32486.30769230769,9712.05641025641,stromal cells
214691,32541.385496183208,9770.339694656488,M2 macrophages
217061,34233.79867256637,9160.535398230088,stromal cells
218845,34539.07717041801,9192.636655948552,NK
219090,32861.92828685259,9929.187250996016,stromal cells
220799,32301.662576687115,9867.745398773006,stromal cells
221271,32960.52321981424,9641.978328173374,stromal cells
222006,32294.19004524887,9826.425339366517,stromal cells
222487,32881.92105263158,9454.144736842103,NK
223726,32207.57978723404,9407.27659574468,stromal cells
224330,32917.7263681592,9764.830845771145,M1/M0 macrophages
224363,34990.250746268655,8984.919402985075,stromal cells
226174,32707.06603773585,9631.5,stromal cells
226324,35096.32638888889,9012.010416666666,memory CD8+ T cells
228154,33044.61637931035,9691.870689655172,stromal cells
229070,33883.12643678161,9276.122605363984,stromal cells
230423,34537.86750788643,9171.217665615142,stromal cells
230718,34454.7247706422,9336.186544342509,stromal cells
230860,32274.041666666668,9437.10606060606,stromal cells
235754,32252.87644787645,9447.803088803088,M2 macrophages
235920,34618.72222222222,9164.927083333334,memory CD4+ T cells
236505,32477.773291925467,9681.189440993789,stromal cells
237283,32124.048148148147,9596.555555555557,neutrophils
237587,34165.5724137931,9108.48275862069,neutrophils
237973,33359.18272425249,9447.425249169435,stromal cells
238671,33241.386243386245,9450.343915343916,NK
239316,33245.89552238806,9665.10447761194,stromal cells
239578,32161.94704049844,9478.931464174457,stromal cells
240827,32225.737142857142,9985.297142857144,effector CD8+ T cells
241149,32252.016483516483,9901.164835164836,stromal cells
242345,34587.348837209305,9175.166112956813,stromal cells
242708,33217.817351598176,9355.392694063929,effector CD8+ T cells
242716,32858.90717299578,9431.7805907173,effector CD8+ T cells
243824,32258.336507936507,9311.098412698411,stromal cells
244232,33795.7568627451,9431.525490196078,stromal cells
244374,32697.686390532544,9824.994082840236,neutrophils
244473,32737.021978021978,9375.123626373626,effector CD8+ T cells
244663,32398.051470588234,9798.558823529413,stromal cells
245430,34010.269230769234,9493.97435897436,stromal cells
245481,33070.52232142857,9935.66517857143,memory CD8+ T cells
245601,33091.43670886076,9773.806962025315,stromal cells
245752,32202.462962962964,9675.25925925926,stromal cells
246441,32817.28510638298,9981.089361702128,stromal cells
