CellID,X_centroid,Y_centroid,phenotype
722,34907.53033268102,38603.61317677756,Ki67+ tumor cells 
1788,35725.37876802097,38657.51376146789,Ki67+ tumor cells 
1991,36702.28652214892,39101.55419415646,Ki67+ tumor cells 
2785,36877.46341463415,38344.72195121952,stromal cells
2919,35519.02254986991,38768.640069384215,Ki67+ tumor cells 
3371,36543.99735682819,38740.87929515418,Ki67+ tumor cells 
3901,35794.24092409241,39434.92904290429,Ki67+ tumor cells 
4063,35427.2641509434,38833.44679245283,Ki67+ tumor cells 
4072,34999.495382031906,38683.626364399664,Ki67+ tumor cells 
4601,36866.35336538462,39072.92127403846,Ki67+ tumor cells 
4640,35874.4133126935,39196.19040247678,Ki67+ tumor cells 
5098,35943.38945712038,38324.78835562549,Ki67+ tumor cells 
5499,35077.78222778473,38901.32790988736,Ki67+ tumor cells 
5577,36559.802,39218.318,Ki67+ tumor cells 
5685,35104.62227805695,38338.45142378559,Ki67+ tumor cells 
5914,35440.72866127583,38103.73405211141,Ki67+ tumor cells 
5954,35663.22703180212,37854.233215547705,Ki67+ tumor cells 
6955,35740.27300613497,38690.90593047035,Ki67+ tumor cells 
6990,36670.5539452496,39269.76006441224,M2 macrophages
7229,35402.06901615272,39217.643171806165,Ki67+ tumor cells 
7546,35872.02122986823,37918.92532942899,Ki67+ tumor cells 
9399,35550.70509383378,38594.67426273458,Ki67+ tumor cells 
9732,35958.56866048863,38204.3100252738,Ki67+ tumor cells 
9805,35047.21199324324,38775.33361486487,Ki67+ tumor cells 
10129,36647.99216710183,38651.702349869454,Ki67+ tumor cells 
10769,35995.02357320099,37936.700372208434,Ki67+ tumor cells 
11544,36017.27977839335,38859.97506925208,Ki67+ tumor cells 
11692,36033.68683812406,39051.76550680787,Ki67+ tumor cells 
11783,34916.59646539028,38726.287187039765,tumor cells
12833,35929.76637824475,39505.15451174289,Ki67+ tumor cells 
13316,35352.1246882793,39017.96758104738,Ki67+ tumor cells 
13368,35502.46119235096,38585.17210348706,Ki67+ tumor cells 
13440,36670.66323907455,39420.74035989717,Ki67+ tumor cells 
13442,35345.091575091574,39445.163003663,Ki67+ tumor cells 
13647,35334.05802707931,37913.18568665377,Ki67+ tumor cells 
13862,36007.538863976086,38017.33632286995,Ki67+ tumor cells 
14298,36188.64976958525,38451.40552995392,Ki67+ tumor cells 
14651,35735.589198036,39472.45008183306,Ki67+ tumor cells 
14862,36210.75646258504,39248.04353741497,Ki67+ tumor cells 
15843,36913.75088028169,39263.74559859155,Ki67+ tumor cells 
15940,37074.95652173913,38747.73795534665,tumor cells
16275,36094.9020979021,38154.61072261072,tumor cells
16354,36126.62679425837,39042.62599681021,Ki67+ tumor cells 
17181,36003.71621621621,39086.76091476092,Ki67+ tumor cells 
18037,36345.72253521127,38698.94225352113,Ki67+ tumor cells 
18578,35190.67424242424,38929.45202020202,Ki67+ tumor cells 
18753,36297.53392857143,38955.43214285714,Ki67+ tumor cells 
18932,36335.005859375,38779.7568359375,Ki67+ tumor cells 
19727,36359.794642857145,38404.3671875,Ki67+ tumor cells 
19874,36889.52989130434,39221.38179347826,Ki67+ tumor cells 
19994,35486.29054054054,39210.326576576575,tumor cells
20480,36299.39315230224,38611.06965761511,Ki67+ tumor cells 
20631,35849.6623853211,38759.099082568806,Ki67+ tumor cells 
21907,35306.0,38127.83048919227,tumor cells
22467,36413.56316725979,38409.90480427046,tumor cells
23498,35219.80620155039,38930.95348837209,Ki67+ tumor cells 
24408,36165.25427350427,38722.40170940171,tumor cells
24448,35846.298722044725,37974.05910543131,Ki67+ tumor cells 
24523,36542.422374429225,39020.19406392694,Ki67+ tumor cells 
24541,36089.36641221374,38822.57633587786,Ki67+ tumor cells 
24730,36892.75986078887,39104.26218097448,Ki67+ tumor cells 
24760,35445.67793594306,38020.571174377226,Ki67+ tumor cells 
25140,35886.789830508475,38983.4,M1/M0 macrophages
25846,35196.59942084942,39107.80308880309,Ki67+ tumor cells 
25989,35651.34199497066,38271.0821458508,Ki67+ tumor cells 
26183,35406.158013544016,37931.5914221219,Ki67+ tumor cells 
26206,36690.96741573034,38908.37078651685,Ki67+ tumor cells 
26564,35804.12989323843,38969.34163701068,tumor cells
27587,36064.0592948718,38948.35416666666,Ki67+ tumor cells 
28610,35525.95789473684,38443.78157894737,stromal cells
28951,36298.81241743725,38667.83751651255,Ki67+ tumor cells 
28954,36875.70315091211,39252.07794361526,Ki67+ tumor cells 
28958,36427.26308539945,38802.47245179064,tumor cells
29610,35250.51300578035,39000.47254335261,Ki67+ tumor cells 
29763,36718.47507788162,39161.57165109034,Ki67+ tumor cells 
30616,36581.669,39371.581,Ki67+ tumor cells 
30670,36804.93103448276,38831.23620689655,stromal cells
32288,35213.426124197,38404.755888650965,Ki67+ tumor cells 
32292,35826.74193548387,37904.34358589647,Ki67+ tumor cells 
32549,36690.51794871795,39279.89743589744,stromal cells
32773,36663.37350359138,39373.9992019154,stromal cells
33208,35816.426315789475,39532.21929824561,stromal cells
33562,36901.108307045215,39142.23554153523,Ki67+ tumor cells 
33637,35165.813008130084,39056.50406504065,stromal cells
34487,35467.90575079872,38691.63099041534,Ki67+ tumor cells 
34518,36093.59177456207,38917.08987052552,Ki67+ tumor cells 
34541,35937.86387434555,38886.60209424084,tumor cells
35562,36493.55056179776,38287.37078651685,stromal cells
36044,35795.46581196581,38731.198005698,tumor cells
36158,36509.66043380703,38745.83769633508,Ki67+ tumor cells 
36605,35788.63228699552,39123.60313901345,Ki67+ tumor cells 
38125,35192.910433070865,39141.77657480315,Ki67+ tumor cells 
38301,35223.60842105263,39089.53684210526,Ki67+ tumor cells 
39224,36831.2131147541,38699.89435336976,Ki67+ tumor cells 
39883,35306.69468085106,39344.039361702125,Ki67+ tumor cells 
39927,36794.07090464548,39258.48899755501,stromal cells
40204,36464.56850192061,38868.91933418694,Ki67+ tumor cells 
40468,35005.43172690763,38485.90261044176,Ki67+ tumor cells 
40486,36245.0521920668,39243.93110647181,tumor cells
41062,35754.19625,38725.275,Ki67+ tumor cells 
42356,36981.38513513513,38641.26182432433,tumor cells
42711,35474.333333333336,39235.71304347826,M2 macrophages
42917,35366.2224852071,39404.39171597633,Ki67+ tumor cells 
43421,35159.114613180514,39072.12607449857,tumor cells
43521,36871.816813048936,38751.64240903388,Ki67+ tumor cells 
44396,35483.81904761905,38097.62116402116,Ki67+ tumor cells 
44417,35520.22780569514,38616.21775544389,Ki67+ tumor cells 
44430,35957.727728983686,38369.86198243413,stromal cells
44822,35718.17167381974,39388.3347639485,stromal cells
45321,35516.39908256881,38697.46788990826,stromal cells
45881,36263.38905775076,38016.84802431611,stromal cells
46401,35015.06905370844,38655.81969309463,Ki67+ tumor cells 
46422,35915.74896551724,38096.87034482759,Ki67+ tumor cells 
46717,36326.30474452555,39031.04744525548,tumor cells
47588,35421.31981981982,37885.488738738735,stromal cells
47663,35536.53571428572,39381.6043956044,Ki67+ tumor cells 
48009,35252.294915254235,39304.72711864407,Ki67+ tumor cells 
48633,35691.27264409881,39495.83989021043,Ki67+ tumor cells 
48645,36714.93642611684,39052.38144329897,Ki67+ tumor cells 
48701,36378.45506912442,39376.6198156682,Ki67+ tumor cells 
48938,35321.72639225182,38353.39467312349,Ki67+ tumor cells 
49097,35355.55635062612,38795.91771019678,tumor cells
49599,36584.50843373494,38767.29518072289,Ki67+ tumor cells 
49827,35518.69607843137,39043.23921568628,Ki67+ tumor cells 
49974,36052.60538116592,39198.56950672646,Ki67+ tumor cells 
50101,36023.02551020408,38368.46556122449,tumor cells
50481,36270.71358267716,38075.28543307087,Ki67+ tumor cells 
50839,36112.35211267605,39137.44014084507,stromal cells
51157,36298.27272727273,38801.01262626263,M2 macrophages
51634,35408.30882352941,39265.63725490196,effector CD8+ T cells
52045,35620.19471947195,38204.46369636964,tumor cells
53144,36112.200787401576,39005.74803149606,tumor cells
53689,36457.87954830615,39255.4930991217,tumor cells
54719,36121.249492900606,38741.24543610548,tumor cells
54862,34926.01793721973,38400.99551569507,tumor cells
56005,35272.20909090909,39232.67454545455,tumor cells
56751,35776.293103448275,38681.96021220159,Ki67+ tumor cells 
56793,35826.66171003717,38219.52416356877,tumor cells
