,sim 0_0_1000000_10_0 - step_10000.csv,sim 0_0_1000000_0_1000000 - step_10000.csv,sim 0_0_1000000_1000000_10 - step_10000.csv,sim 0_0_100000_1000_0 - step_10000.csv,sim 0_0_1000000_1000000_10000 - step_10000.csv,sim 0_0_1000000_100000_0 - step_10000.csv,sim 0_0_1000000_100000_100 - step_10000.csv,sim 0_0_1000000_10000_100000 - step_10000.csv,sim 0_0_1000000_10000_10000 - step_10000.csv,sim 0_10_0_10_100 - step_10000.csv,sim 0_0_1000000_100_100000 - step_10000.csv,sim 0_0_100000_10000_10000 - step_10000.csv,sim 0_0_1000000_10000_0 - step_10000.csv,sim 0_0_1000000_100000_1000 - step_10000.csv,sim 0_0_1000000_1000_100 - step_10000.csv,sim 0_0_1000000_1000_1000000 - step_10000.csv,sim 0_0_100000_1000_100000 - step_10000.csv,sim 0_0_1000000_100_10000 - step_10000.csv,sim 0_0_100000_1000_10 - step_10000.csv,sim 0_0_1000000_10_1000 - step_10000.csv,sim 0_0_1000000_1000_1000 - step_10000.csv,sim 0_0_1000000_1000000_0 - step_10000.csv,sim 0_0_100000_10000_100 - step_10000.csv,sim 0_0_100000_1000000_10000 - step_10000.csv,sim 0_10_0_0_100 - step_10000.csv,sim 0_0_1000000_100000_100000 - step_10000.csv,sim 0_10_0_0_1000 - step_10000.csv,sim 0_10_0_0_100000 - step_10000.csv,sim 0_0_100000_1000000_100 - step_10000.csv,sim 0_10_0_10_1000000 - step_10000.csv,sim 0_10_0_0_0 - step_10000.csv,sim 0_10_0_100_100 - step_10000.csv,sim 0_0_1000000_1000000_100 - step_10000.csv,sim 0_0_100000_10000_100000 - step_10000.csv,sim 0_0_1000000_10000_1000 - step_10000.csv,sim 0_0_100000_10000_1000000 - step_10000.csv,sim 0_0_100000_1000000_1000 - step_10000.csv,sim 0_0_1000000_1000000_1000 - step_10000.csv,sim 0_0_100000_1000_1000 - step_10000.csv,sim 0_0_1000000_1000000_1000000 - step_10000.csv,sim 0_10_0_10_10 - step_10000.csv,sim 0_0_1000000_10000_1000000 - step_10000.csv,sim 0_0_1000000_100_0 - step_10000.csv,sim 0_0_1000000_1000_0 - step_10000.csv,sim 0_0_100000_10000_0 - step_10000.csv,sim 0_0_1000000_100_100 - step_10000.csv,sim 0_10_0_0_1000000 - step_10000.csv,sim 0_0_100000_100_100000 - step_10000.csv,sim 0_10_0_10_1000 - step_10000.csv,sim 0_0_100000_100_10000 - step_10000.csv,sim 0_10_0_10_10000 - step_10000.csv,sim 0_0_1000000_0_0 - step_10000.csv,sim 0_0_1000000_1000_10000 - step_10000.csv,sim 0_0_1000000_0_100 - step_10000.csv,sim 0_0_100000_100000_0 - step_10000.csv,sim 0_0_1000000_100000_1000000 - step_10000.csv,sim 0_0_100000_1000000_1000000 - step_10000.csv,sim 0_0_1000000_0_1000 - step_10000.csv,sim 0_0_1000000_10000_10 - step_10000.csv,sim 0_0_100000_1000000_10 - step_10000.csv,sim 0_0_1000000_1000000_100000 - step_10000.csv,sim 0_10_0_10_100000 - step_10000.csv,sim 0_0_100000_10000_1000 - step_10000.csv,sim 0_0_100000_100000_10000 - step_10000.csv,sim 0_0_100000_100000_1000 - step_10000.csv,sim 0_0_100000_1000_100 - step_10000.csv,sim 0_0_1000000_100_1000000 - step_10000.csv,sim 0_0_1000000_0_10000 - step_10000.csv,sim 0_10_0_0_10000 - step_10000.csv,sim 0_0_1000000_100_1000 - step_10000.csv,sim 0_0_100000_100000_1000000 - step_10000.csv,sim 0_0_100000_100_1000 - step_10000.csv,sim 0_0_100000_1000_10000 - step_10000.csv,sim 0_0_1000000_10_10000 - step_10000.csv,sim 0_0_100000_1000000_0 - step_10000.csv,sim 0_0_1000000_10_10 - step_10000.csv,sim 0_0_100000_1000_1000000 - step_10000.csv,sim 0_0_100000_100000_100 - step_10000.csv,sim 0_10_0_100_10 - step_10000.csv,sim 0_0_1000000_10_1000000 - step_10000.csv,sim 0_10_0_100_1000 - step_10000.csv,sim 0_0_1000000_10000_100 - step_10000.csv,sim 0_0_1000000_100_10 - step_10000.csv,sim 0_0_100000_100000_100000 - step_10000.csv,sim 0_0_1000000_0_100000 - step_10000.csv,sim 0_0_100000_100000_10 - step_10000.csv,sim 0_10_0_10_0 - step_10000.csv,sim 0_0_1000000_1000_10 - step_10000.csv,sim 0_0_100000_100_1000000 - step_10000.csv,sim 0_0_100000_10000_10 - step_10000.csv,sim 0_0_1000000_1000_100000 - step_10000.csv,sim 0_0_100000_1000000_100000 - step_10000.csv,sim 0_10_0_100_0 - step_10000.csv,sim 0_10_0_100_10000 - step_10000.csv,sim 0_0_1000000_10_100 - step_10000.csv,sim 0_0_1000000_100000_10 - step_10000.csv,sim 0_0_1000000_10_100000 - step_10000.csv,sim 0_0_1000000_0_10 - step_10000.csv,sim 0_0_1000000_100000_10000 - step_10000.csv,sim 0_10_0_0_10 - step_10000.csv
sim 0_0_1000000_10_0 - step_10000.csv,6.473528723782753e-309,6.876262018277691,2.0957824915081416,2.2227657002654704,2.134126190918754,2.1702387628182755,1.9337325831125143,1.5067873649806414,1.0616110652188295,0.4298519557588578,2.0155644370746373,1.2789882526486458,2.102962159334417,1.89276250969724,1.8821641835085294,1.4791715321612058,1.4835781594256003,1.9091155602064007,1.8984602745140529,1.3205343100316655,1.0548275859764857,1.7158490914436666,1.7514370089330416,2.0363451055479027,1.5616975553864176,1.149074692450957,1.5471512571405723,1.6053715450897745,2.087607179334051,0.9943116479031229,1.808832865543426,1.894480845514972,2.167499839805191,1.3833694635434004,1.9115873047574217,0.9743824338305601,2.077408241054225,2.1085959213774865,1.6367130639187315,2.2499999999999996,2.022128901790461,1.4889640321004751,2.059113827340758,2.1799501876165452,2.677898748357116,2.1126361668827798,1.6221691783893208,1.9924858845171332,0.861729482389475,1.9704060495238074,1.1404755555093304,1.5832127147038744,1.2694414945899937,6.992218898826302,1.731456832013094,1.5624055527010559,2.129272592964069,8.00479654732463,1.8793288665590238,2.0804146221366544,2.1670832932769324,0.6438163538257344,1.8359371098159345,2.148673506958694,2.1582870812290005,1.758355196671702,2.0454030090394846,7.514468470729532,1.5584873271387418,1.9476878695925062,1.2104988255837739,2.0190211195011702,1.5206906325745546,1.4589691319420677,1.6427109723052677,2.416420105765482,0.9880060367572499,2.172202716862334,1.8609887804194984,1.3776109812839494,2.0685633844068354,1.9049573163998135,1.5551763948817303,2.2505554869853794,5.994140793305352,2.2148015688726184,1.8472036382540868,1.865494111529555,2.0,1.89276250969724,1.4433670916425299,2.081587810422611,1.706798628602364,2.0536856268035613,1.5586601904825468,1.9570225427689838,1.395686458335509,1.7374748967276021,1.7607192349886494,1.609054992024328
sim 0_0_1000000_0_1000000 - step_10000.csv,6.876262018277691,1.2190447925731874e-308,6.26405092125915,4.913527442925527,6.065095053761333,5.213053784132763,6.296567644945709,6.068954576672574,5.999455050354385,6.624221752988271,6.172512013066374,5.986427380826333,5.127249573506847,5.862913482464307,6.074906530187844,6.075628897348322,5.97824520421471,6.0809051745707485,6.432179800375948,6.292386242698007,6.049302737938898,6.210261023083306,5.8640580761192185,6.197334218083318,7.118943980917534,6.158302232965697,7.024023663481307,6.9163110010115005,5.940766819851845,6.594751428303175,7.331283782086949,7.046794458309991,6.134440256195134,5.783118417750234,5.787746491499912,5.901879584447132,6.258355445371626,5.736794685167663,6.0937468156057175,5.810801360644453,7.331283782086949,6.150878712113744,5.777011989560463,5.457363299145406,4.451701548081868,6.131074184303401,7.13643382580868,6.057922342203386,6.675897003773393,6.1292739980432,6.564908565942066,7.213122197430866,5.950573117870541,0.920143967484801,6.60030981587535,6.199387213013589,6.418491621122991,1.8994278645358305,6.246564120178174,6.688739555834623,5.7633861506843465,6.370560877238454,6.32643776877841,5.9964205653926825,6.205858156547662,6.014410514345979,6.052488532131983,1.4223681220575468,7.233840815979246,6.1465655532868,6.130540652607105,6.100328484794561,5.952291079635751,6.40344121213211,6.12901131093604,7.068325272512862,6.229550043792785,6.167633013690436,6.874088638048978,5.947539392636232,5.8782064583473845,5.952957181819019,6.504152350288121,6.066896329039695,1.4521946945177928,6.480609091751514,7.263201037233905,6.287600769277525,6.054086558468486,6.469289480384372,6.073336786981425,5.829536525791385,7.122026927958235,5.686350150059877,6.731478855172233,6.344679830508067,6.173765935768406,7.114424124792677,6.098205066644317,6.632663910107425
sim 0_0_1000000_1000000_10 - step_10000.csv,2.0957824915081416,6.26405092125915,9.122289005578943e-309,2.557679291077962,1.814883450543905,2.5294515215753846,2.4187419250511195,2.015564437074637,2.1095023109729,2.1517797865952715,1.822634210381402,2.161902568267457,2.5124689052802225,2.37500579604123,2.3679273672313883,2.0,2.015564437074637,1.9728068225254,2.37500579604123,1.684472848706158,2.0615528128088303,1.3386349902885928,2.3227783246145473,1.7702875557439515,1.1054351127627777,2.144047288543372,1.1754192456749737,1.107653976586954,1.8931940400997918,2.1860753920747413,1.4962631227021603,1.322897347530356,1.9238993967691973,2.0163064473811154,2.3968224074931395,2.06155281280883,1.8200274723201293,1.8408935028645383,2.0206691379149446,2.151190805597264,1.6334619523549803,2.0155644370746373,2.5065905993636166,2.543607565322686,2.541177342395236,1.7986468206647839,1.0421877131068817,1.7986468206647839,2.200000000000003,1.887700472860415,2.2272223109041356,1.2137377673590894,2.020669137914944,6.380007801807761,1.668748699541723,2.0172161504738138,1.9093614526916607,7.692894472250755,2.3679273672313883,1.7324777891623495,1.9476164603286767,2.1619025682674575,2.355292684172796,1.90641000127741,1.9496205805651692,2.3316232418958185,1.75,6.933531796315077,1.180523683327658,1.8226342103814017,2.14905093250422,1.7903166099921641,1.9999999999999998,1.3532135370312592,1.4047262777475849,1.9370841200127693,2.095398985856318,1.9265353517489499,1.3682550731311967,1.5374397004759213,2.509760695927369,2.3963815726388638,2.271190214108478,2.1444887922138456,5.657939430185056,1.9039432764659765,1.5845520046377999,2.362694547080032,1.7903166099921641,2.3731667482975025,2.015564437074637,1.8859019851460586,1.3097130235890555,2.509523281540086,1.221704870406013,2.431413298449362,1.7213426077637544,1.4235422375286655,2.3316232418958185,1.2651046759883058
sim 0_0_100000_1000_0 - step_10000.csv,2.2227657002654704,4.913527442925527,2.557679291077962,7.970063043934294e-309,2.4039396040322485,0.805232127786244,2.4858278857913185,2.252053925611258,2.377225654846195,2.1280893321535226,2.455486054675502,2.3570226039551674,1.1846638999105248,2.2469884862258214,2.45000157470345,2.257326193076695,2.2577153940913304,2.451369416905697,2.7613402542968153,2.137082971776688,2.3875254507078605,2.3133282523899994,2.406938339743373,2.395841372939081,2.253655233839142,2.325837534522991,2.15696748513272,2.1494317774416003,2.424589698089477,2.1343871658499562,2.544554030887515,2.4891382011974184,2.4153936113142924,2.2545305860123825,2.4439909817171053,2.2221318193314286,2.3922894530917507,2.414903441004982,2.3651714071035586,2.435638460597917,2.615667405526047,2.289710969475132,1.7042651940521998,0.8568360397273289,0.6669254771578164,2.4999999999999996,2.2711450787302887,2.426434999243866,2.082612903640901,2.4446348744590622,2.0953163372792,2.299594754505339,2.2649475854595176,4.981245627627001,2.3048861143232218,2.2625174608764858,2.395254662443884,6.342929477131188,2.745106546730714,2.57275534079922,2.4003045510343597,2.114932887940233,2.4079363002067318,2.408350954696514,2.3941475765208304,2.4220278710750724,2.4504709123569848,5.58356680119551,2.3685520689008537,2.433622949669286,2.3667582551524373,2.4309337250345218,2.232642801155391,2.158819130881434,2.278365107586776,2.7916845390260723,2.2375254326439213,2.422406975624776,2.52001465274699,2.1436511086495296,1.5189582794744523,2.389180017103583,2.7508159015509746,2.413479399642766,4.296593881512512,2.538027771187754,2.485957124010972,2.789686363767755,2.4283860532315273,2.762065246534506,2.275633478593201,2.4116614835235732,2.256738180879844,1.5015402215352793,2.3430533258655353,2.821233539529055,2.151682703409444,2.249135377714285,2.396796396023017,2.1859145623970386
sim 0_0_1000000_1000000_10000 - step_10000.csv,2.134126190918754,6.065095053761333,1.814883450543905,2.4039396040322485,1.145563413784309e-308,2.3802719265757104,2.310014675376223,2.071974544340896,2.134126190918754,2.1474026955808,2.0045252060712926,2.153622652724886,2.368824207280903,2.2951004661200534,2.2862799751052947,2.0615528128088303,2.0779862510382836,2.040720661023085,2.295100466120053,1.965155330993128,2.115734236842316,1.8697608617811876,2.2546504725705496,1.2747548783981957,1.8148834505439049,2.14448879221385,1.8200274723201295,1.8200274723201295,1.4537129187016258,2.1604344257853794,1.3909281711227584,1.7528548142958105,1.2747548783981957,2.084999333866137,2.304088437845162,2.115734236842316,1.5206906325745546,1.6649500964081165,2.085207490341853,2.0355680661847195,1.4298787186457982,2.0719745443408963,2.3639215300005203,2.386796497538309,2.385720205651536,1.9973550757323388,1.7706516033911628,1.9973550757323388,2.170829334609241,2.0155644370746373,2.1843027360535574,1.6649500964081165,2.096509579307471,6.134871487391759,1.9651553309931278,2.0849993338661363,1.6712898840545805,7.494497087966993,2.2862799751052947,1.7262676501632102,1.7356554957709809,2.152324325003094,2.275137358490691,1.7029386365926427,1.75,2.2577989835235552,1.9693910422398422,6.735134412031316,1.75,2.0045252060712926,2.1455340422679443,1.98711240308124,2.0557768815239137,1.8824579077161685,1.8971561319219017,1.7262676501632104,2.125820211176837,1.2747548783981957,1.7677669529663687,1.814883450543905,2.367157319544045,2.3038614927503414,2.225996851630985,2.0363428984696843,5.204357070353195,1.5206906325745546,1.5080072941236669,2.278699110218991,1.98711240308124,2.29359798482131,2.0779862510382836,1.2747548783981957,1.7262676501632104,2.363260459619296,1.7052896070185066,2.316723794774479,1.9742270038494654,1.5206906325745548,2.261449290291954,1.659246568040352
sim 0_0_1000000_100000_0 - step_10000.csv,2.1702387628182755,5.213053784132763,2.5294515215753846,0.805232127786244,2.3802719265757104,1.255761927266416e-308,2.3459291550617642,2.2110857061633755,2.332078568563695,2.0830785278157613,2.4145712499298226,2.3193105417103803,0.597287057244265,2.1807478227598622,2.3229390690173792,2.2236323650868464,2.2293302482047643,2.405144948276977,2.7200348022658427,2.075876567998397,2.3404165440625206,2.27129202761721,2.328607694117558,2.375537945245368,2.253043364687462,2.299622093486925,2.1184065181322262,2.1080831490600027,2.392778849998474,2.076723461266618,2.5439421617358353,2.4602404084252036,2.3993484526289124,2.219203679056027,2.339609212355912,2.180091068717358,2.36733815514987,2.3929229504757465,2.3300716071909573,2.412602141458577,2.5828927092588754,2.252266432203937,1.1101507401643953,0.43554308361361294,0.9985799164779151,2.46894777688796,2.270533209578609,2.385620423968624,2.0105786971742337,2.4023212320370404,2.03954452924014,2.1436452623239055,2.222503425734201,4.981857496778681,2.2638462845343543,2.235619256529712,2.373559952491735,6.642455818338423,2.69542940252352,2.548049332658618,2.389534796400726,2.0639902533162875,2.3182020281979594,2.3908881516804925,2.3704195596748043,2.3547845993985193,2.4126283641018276,5.883093142402746,2.3679401997491745,2.3971177420785432,2.3205737131745345,2.3885658696339656,2.2083333333333357,2.131002272530694,2.2509199508201068,2.7765430812422958,2.2036157156415133,2.403288663247083,2.4826255003394637,2.0937230581117623,1.0123058421173141,2.2895064512830783,2.7159349280966865,2.394917575597506,4.670535733756384,2.515576474687258,2.3973004210038344,2.7326069607452634,2.3976959185837337,2.7095337889595537,2.245697856199866,2.3879053240726904,2.2561263117281642,0.9680335902723058,2.297162325711615,2.7707677988260437,2.087513605669113,2.248523508562606,2.3053894021327705,2.136474235900073
sim 0_0_1000000_100000_100 - step_10000.csv,1.9337325831125143,6.296567644945709,2.4187419250511195,2.4858278857913185,2.310014675376223,2.3459291550617642,7.511737314581367e-309,2.048938009584518,2.1913852745438502,1.8742866283819364,2.292752685318032,2.1764558225237804,2.2638462845343543,1.7677669529663687,1.8936317090138497,2.0676430854947023,2.086039908534829,2.2754145419831597,2.1502847462129058,1.8767984784243694,2.214788373726237,2.124221917151198,2.0472924192699,2.278168347688151,2.0146623205708694,2.1751559527545212,1.9570718506108338,1.9813607811457365,2.3048861143232218,1.7919822055671408,2.15432072493701,2.308870362956993,2.3101527126048573,2.0353132437047607,1.6777353540911437,2.015564437074639,2.2924975302721453,2.304226943153724,2.216884328188436,2.3505318547086254,2.3987627018944586,2.0786205197933856,2.1465741571734496,2.425801700240336,2.412985702402729,2.317919176218025,1.9940769271196623,2.2638462845343543,1.782943120984256,2.2638462845343543,1.8216448673316485,1.98032188906555,2.0569616085413824,6.4125245254943195,2.1034715353842355,2.0668051851757543,2.3048861143232218,7.643593175421073,2.245548595424193,2.41532503275448,2.3106747472776945,1.7598361587349944,1.9471374984408847,2.311615255347955,2.302069551827941,2.049994960687216,2.304886114323219,6.934774097397549,2.0090746545188676,2.2638462845343543,2.164645872032664,2.2868300847974394,2.06155281280883,1.9479054127133242,2.085807209685581,2.6679197487708146,2.0461496511892148,2.3219010508193323,2.3083421966778053,1.8912929146192192,2.205194470576508,1.73026794471082,2.5418216678034513,2.34360832905159,5.41444641997337,2.4311549756304243,2.1613458129497913,2.3640733861719676,2.284201508320199,2.173125007717914,2.0517209419239717,2.3086792761230357,2.059413984255581,2.0770257381227126,2.070105988272301,1.73873134282465,1.8993046824151203,1.9960575610829543,2.010032801746152,1.9629811529132137
sim 0_0_1000000_10000_100000 - step_10000.csv,1.5067873649806414,6.068954576672574,2.015564437074637,2.252053925611258,2.071974544340896,2.2110857061633755,2.048938009584518,2.0568351454529734e-308,1.5468743478168792,1.5094780141210355,1.9557343107423537,1.6455432233764045,2.178621109575599,2.0208977652958575,2.0028105252369737,1.3533730659698864,0.833758394994908,1.781524101717403,2.0270421801235443,1.237535440856715,1.4615440845595855,1.5989094067893599,1.9124962547994497,1.9856736892047462,1.5052552345107015,1.5615803078456254,1.4837082954955907,1.55824977494339,2.0314941384194487,1.5526018685929324,1.7499789150795144,1.8175350455975543,2.1016226493264454,1.090602248900176,2.035977271914172,1.4741359920566746,2.027467632294038,2.0202317288368157,1.4294692867403884,2.225996851630989,1.9350026879811728,0.884885044483245,2.1650967229792224,2.229429755101784,2.2291275145732325,2.0,1.583960894249751,1.8573145525028265,1.6039651123489702,1.8027756377319943,1.641786828099091,1.5628106267199067,1.2497636827656353,5.950858504599202,1.5998401169373258,1.090602248900176,2.089676599617919,7.4983566108782345,1.999707009789184,2.0057051591885564,2.102772034746458,1.5302932647523768,1.9811612756158967,2.086496917743963,2.1054592082271784,1.9272137641066156,1.9667372868676596,6.738993934942557,1.5300607697543562,1.8500625851570809,1.6099974648224469,1.9579260732641375,1.3184772857130096,1.396834759179109,1.5290627455466346,2.3418062562365956,1.5302932647523768,2.113700252677739,1.8037453538286137,1.3304145167394885,2.174920177334734,2.0354553575052163,1.8297739101753125,2.228299546552268,5.309228363103555,2.1374513671911815,1.8002145150919886,1.992986569160112,1.923945957488732,2.015564437074637,1.0,2.0326226175105386,1.6420374076349655,2.1476731594914544,1.4503525751182693,2.0685598636000435,1.3122570032144891,1.6920869739946347,1.9323528671818209,1.589123911630056
sim 0_0_1000000_10000_10000 - step_10000.csv,1.0616110652188295,5.999455050354385,2.1095023109729,2.377225654846195,2.134126190918754,2.332078568563695,2.1913852745438502,1.5468743478168792,7.41831430877976e-309,1.040204356386368,2.0155644370746373,1.5425363148232412,2.300345170121505,2.157198684288214,2.1475893319860058,1.6035481851216404,1.590990257669732,1.9529033178692323,2.1571986842882143,1.4233762678926465,1.5890248582070725,1.7521861345188183,2.0556244102404406,2.0429417786885415,1.5940791049344323,1.3209844813622946,1.5698078277554646,1.6412606820229838,2.0944205846920596,1.3191358247361584,1.8254024191042435,1.945188851208273,2.1674998398051915,1.5310586615149644,2.1730674684008733,1.3982353104792784,2.0872607608849947,2.1159090259075723,1.7710397038612857,2.2499999999999996,2.024845673131656,1.5755167680541384,2.290837918329361,2.343594754290601,2.350531854708633,2.114394302230813,1.6592022081858673,1.9981241202688091,1.3743724711798229,1.9918472886498524,1.546269826179064,1.635746613940348,1.5656569062608199,6.1154119309029955,1.7583110250546299,1.634135857265234,2.129272592964069,7.34648058082975,2.140975364221667,2.094812126951304,2.1670832932769324,1.2108229067870928,2.108390974179125,2.1486735069586937,2.1582870812290005,2.0784317338373817,2.0554804791094483,6.637661502806224,1.608743140663042,2.0,1.4345374741109294,2.027895829633483,1.5882552080468493,1.5193048783845744,1.7170379781761183,2.4031352795041814,1.1931818181818188,2.1722027168623343,1.899482361328276,1.4360250350305748,2.2959045463499628,2.170693844075177,1.9946326547205042,2.25028342886048,5.120943196024208,2.214801568872618,1.8685176032745467,2.1283692398880776,2.0155644370746373,2.1523243250030877,1.5304486782965978,2.0853844070098893,1.7486557780775023,2.290837918329361,1.6000232658732987,2.216768481371023,1.4727422283623715,1.7577353990796367,2.079184410411931,1.6471060918785985
sim 0_10_0_10_100 - step_10000.csv,0.4298519557588578,6.624221752988271,2.1517797865952715,2.1280893321535226,2.1474026955808,2.0830785278157613,1.8742866283819364,1.5094780141210355,1.040204356386368,6.683074815608145e-309,2.043610761926673,1.1314188250754798,2.036184420880339,1.7878527308529768,1.745653278168108,1.4921550091112168,1.4835781594256003,1.97238589592629,1.807874252008904,1.3321527695319877,1.3974899415460023,1.7453926399889366,1.6252999974919575,2.06155281280883,1.5636216063265722,0.987107001575437,1.5476029513186034,1.611972383088361,2.124324622566143,0.7016799176798828,1.8179570835081842,1.958093610425507,2.18683859223435,1.3833694635434004,1.8432082109527954,1.0067421521797708,2.107862400686228,2.134374745810956,1.7271108177645678,2.2638462845343543,2.051689387780297,1.5214040025216429,2.008878570321464,2.088976609320409,2.425858483067696,2.1458312693999644,1.6393388892337262,2.0,0.5502703738314794,1.9999999999999998,0.8884352902199096,1.5841508035734253,1.3674285854189412,6.740178633536882,1.738107219165118,1.5652712111634322,2.145934463636358,7.9712472834636365,1.729188577491146,2.124623153810192,2.1832502450825624,0.3953874331504421,1.6757029485862995,2.1545688810108223,2.1697045256282856,1.6432311496550305,2.0615528128088303,7.262428205440111,1.5636479126597023,2.015564437074637,1.0071373821681768,2.06155281280883,1.5219736140249935,1.4589691319420677,1.6792169871207707,2.466488432420349,0.8934467303493854,2.1886448329928223,1.9362642060487607,1.3776109812839494,2.0198634680370344,1.8156327538497186,1.4985294289112896,2.2638462845343543,5.742100528015932,2.234328136649179,1.8692382274973682,1.7046005333930405,2.0155644370746373,1.791934907883129,1.4433670916425299,2.108390974179125,1.7238891733389357,2.0073596027782346,1.569671471070269,1.9088175666274703,1.395686458335509,1.7458940897500208,1.6473137707430747,1.6212660049142578
