CellID,X_centroid,Y_centroid,phenotype,Cluster
940092,26890.225225225226,23740.53153153153,B cells,0
446577,30556.081818181818,23514.736363636363,B cells,1
62264,29521.936781609194,23527.83620689655,B cells,2
897709,31474.251572327044,23817.74842767296,B cells,3
7850,28104.14958448753,23505.57063711911,B cells,4
982489,29971.14285714286,23617.74603174603,B cells,5
402780,30965.217142857146,23633.154285714285,B cells,6
556977,26541.0375,23447.479166666668,B cells,7
137542,29119.29746835443,23633.76582278481,B cells,8
836035,27333.88571428572,23455.4,B cells,9
381253,30194.62393162393,23713.7094017094,B cells,10
109793,29530.947154471545,23863.60162601626,B cells,11
1012516,27006.85714285714,23575.47619047619,B cells,12
271503,29919.3738317757,23482.044392523363,B cells,13
235649,30753.20526315789,23794.85789473684,B cells,14
658700,31017.83112582781,23366.20860927152,B cells,15
639698,30351.51014492753,23514.594202898552,B cells,16
60516,29981.77741935484,23311.345161290323,B cells,17
204312,29979.51219512195,23773.00609756097,B cells,18
566171,30608.35220125786,23572.69182389937,B cells,19
23337,30525.21052631579,23421.95394736842,B cells,20
415601,30038.24836601307,23489.777777777777,B cells,21
983530,30452.166666666668,23459.8125,B cells,22
210336,30676.024390243903,23552.032520325203,B cells,23
382262,30394.43455497382,23553.31937172775,B cells,24
109643,26514.064220183485,23482.591743119265,B cells,25
140899,27029.12222222222,23547.05,B cells,26
1002391,26917.605633802817,23736.661971830985,B cells,27
842921,31489.451882845187,23805.27615062761,B cells,28
1030278,30569.8,23488.866666666665,B cells,29
509271,30570.831360946744,23524.133136094675,B cells,30
967729,30190.32786885246,23729.737704918032,B cells,31
634261,29133.83908045977,23629.92528735632,B cells,32
583968,31461.82724252492,23813.0,B cells,33
459499,26908.356435643564,23740.95544554456,B cells,34
932590,30366.51807228916,23557.180722891568,CD4+ T cells,0
90980,28841.68831168831,23421.66233766234,CD4+ T cells,1
617933,27500.810426540284,23418.8672985782,CD4+ T cells,2
337968,28456.739130434784,23773.29891304348,CD4+ T cells,3
718204,29562.951327433628,23885.429203539825,CD4+ T cells,4
607654,28205.42105263158,23271.79605263158,CD4+ T cells,5
1029703,31336.722222222223,23603.674603174604,CD4+ T cells,6
84884,27213.9963768116,23568.134057971016,CD4+ T cells,7
864384,29209.76571428572,23721.571428571428,CD4+ T cells,8
918465,28889.666666666668,23830.666666666668,CD4+ T cells,9
363269,26588.31313131313,23663.717171717173,CD4+ T cells,10
628601,29893.766666666663,23442.31333333333,CD4+ T cells,11
319193,27827.295454545456,23280.61931818182,CD4+ T cells,12
953938,27185.39299610895,23271.60311284047,CD4+ T cells,13
572170,30292.25,23320.883928571428,CD4+ T cells,14
307531,28603.67567567568,23410.135135135137,CD4+ T cells,15
900742,28647.02631578948,23786.986842105263,CD4+ T cells,16
615087,27467.388663967613,23286.044534412955,CD4+ T cells,17
632975,28198.57307692308,23671.353846153845,CD4+ T cells,18
472796,31045.65,23635.27142857143,CD4+ T cells,19
948771,28428.84337349397,23646.53012048193,CD4+ T cells,20
651354,27652.869565217392,23663.36231884058,CD4+ T cells,21
813352,29458.70786516854,23772.550561797754,CD4+ T cells,22
930148,29319.594285714287,23927.485714285714,CD4+ T cells,23
615851,29816.12568306011,23948.90710382513,CD4+ T cells,24
966303,29928.95238095238,23697.25396825397,CD4+ T cells,25
857895,28747.62121212121,23687.848484848484,CD4+ T cells,26
285016,30157.12258064516,23228.67096774193,CD4+ T cells,27
218987,27941.76470588236,23248.75294117647,CD4+ T cells,28
618300,28493.495798319327,23621.45378151261,CD4+ T cells,29
255551,27080.5983935743,23678.16064257028,CD4+ T cells,30
