CellID,X_centroid,Y_centroid,phenotype
278,37828.83690987124,3943.541845493562,tumor cells
2548,38022.81965006729,4925.024226110363,tumor cells
2704,37614.68151815182,5532.663366336634,tumor cells
2862,37843.39782016349,3865.576294277929,tumor cells
3103,37957.61829268293,5023.620731707317,tumor cells
3935,37778.891719745225,3919.769426751592,tumor cells
5517,36436.12565445026,6712.14485165794,Ki67+ tumor cells 
6069,36586.050139275765,4275.899721448468,tumor cells
6495,37966.14840989399,4883.021201413428,tumor cells
6882,37936.89743589744,4152.948717948718,tumor cells
6961,37997.53191489362,5081.969604863222,tumor cells
7379,37693.89056087552,3583.7852257181944,tumor cells
7486,37673.40393013101,5999.960698689956,Ki67+ tumor cells 
8657,37987.74147414741,5009.347634763476,tumor cells
9214,36861.780528052805,6306.759075907591,Unknown
9295,37909.5376661743,5069.881831610044,tumor cells
9927,37872.07692307692,4056.428205128205,tumor cells
10858,37811.21689785624,5975.408575031526,tumor cells
11493,37845.342995169085,6013.623188405797,tumor cells
13350,37734.030303030304,5486.020202020202,Unknown
15625,37849.175,5818.241071428572,tumor cells
16686,37878.38714499253,3929.671150971599,tumor cells
16696,36402.0943877551,6580.071428571428,Ki67+ tumor cells 
16762,37734.27160493827,3945.135802469136,neutrophils
18334,37882.32418524871,4129.044596912521,tumor cells
18566,36694.11341330425,4442.147219193021,tumor cells
19538,37177.96235294118,4691.437647058823,tumor cells
20194,37854.08885754584,4703.346967559944,tumor cells
20762,37975.59433962264,5803.221698113208,tumor cells
21046,37791.12032520325,3953.022764227642,tumor cells
21140,37637.24038461538,5230.615384615385,tumor cells
21542,37806.303258145366,5226.852130325815,Ki67+ tumor cells 
22422,37640.0961038961,5566.198701298701,tumor cells
22557,37752.62543554007,3886.1062717770033,tumor cells
22981,36153.893899204246,6407.864721485411,NK
23122,38080.68220338983,4955.334745762712,tumor cells
23261,37256.38838475499,4809.827586206897,Unknown
23430,36272.75894988067,5649.696897374702,Ki67+ tumor cells 
23542,38143.984230055656,5478.146567717997,tumor cells
24069,37822.48907103825,4876.168032786885,tumor cells
24339,36990.12541254125,6206.73597359736,effector CD8+ T cells
24425,36483.09181141439,6248.488833746898,effector CD8+ T cells
24590,37623.69901315789,3733.5986842105262,tumor cells
24733,36099.96900826446,6107.4504132231405,stromal cells
25050,36038.41176470588,6684.908088235294,tumor cells
25487,37264.21526418786,3900.6692759295497,tumor cells
26020,36014.001264222505,6706.485461441213,Ki67+ tumor cells 
26212,37272.1663585952,3653.9944547134937,tumor cells
26639,37642.91100702576,5389.498829039812,tumor cells
26648,36289.40967741935,5739.672580645161,stromal cells
26711,36899.52320675105,6153.799578059072,Ki67+ tumor cells 
28127,38052.78881987578,5385.490683229814,tumor cells
28258,37983.965587044535,5293.296558704454,tumor cells
28415,37776.71176470589,6108.050980392157,M2 macrophages
28497,37700.61089987326,6030.674271229404,Ki67+ tumor cells 
28567,37861.59574468085,4901.888610763454,tumor cells
29463,37790.76425120773,5012.588405797102,tumor cells
29691,37736.20472440945,6040.139107611549,Ki67+ tumor cells 
29707,36820.84860557769,6237.350597609562,Ki67+ tumor cells 
29859,38000.38181818182,5156.522077922078,tumor cells
30396,36125.63427561837,6633.515901060071,tumor cells
30585,37778.81316348195,5825.874734607219,tumor cells
31300,37724.10296010296,5052.478764478765,tumor cells
31526,36582.08318584071,4369.851327433628,tumor cells
31710,36352.456910569104,6720.221138211382,Unknown
32087,38054.93433395872,4838.474671669794,tumor cells
32257,37967.902718168814,5850.826895565093,tumor cells
32313,38087.38086956522,5584.667826086957,tumor cells
32478,37839.26044226044,5202.415233415233,tumor cells
32599,37846.4396039604,5916.954455445544,tumor cells
32850,36255.974311926606,6447.137614678899,stromal cells
32948,38031.95948827292,5102.934968017057,tumor cells
32992,37802.535660091045,5718.139605462822,tumor cells
33194,37719.29839704069,5665.236744759556,effector CD8+ T cells
33729,36373.0153609831,6098.543778801844,tumor cells
34674,37825.65957446808,5768.624758220503,tumor cells
36122,37345.86836518047,5181.774946921444,tumor cells
36483,36031.3775,6458.2,tumor cells
36490,36159.33637873754,6221.455980066446,Unknown
37065,37737.41903171953,4940.739565943239,tumor cells
37204,38088.29010989011,5392.804395604396,tumor cells
37429,37238.16453382084,3658.215722120658,tumor cells
37466,37762.47485380117,4120.5637426900585,tumor cells
37593,37537.28909952607,3558.122037914692,tumor cells
