CellID,X_centroid,Y_centroid,phenotype
12067,39695.48140495868,36455.53099173554,M1/M0 macrophages
12898,42757.48666666666,34405.86,memory CD4+ T cells
16263,40545.73449401523,35408.682263329705,Ki67+ tumor cells 
18115,41466.6168224299,34720.214953271025,stromal cells
21160,41067.5641025641,35145.92307692308,memory CD4+ T cells
21573,40296.454545454544,35851.93048128342,stromal cells
30100,42533.91379310345,34406.22413793104,stromal cells
32110,40912.1858974359,35130.166666666664,memory CD8+ T cells
32616,41038.3023255814,35067.24709302326,tumor cells
35466,42451.40372670807,34451.29192546584,stromal cells
39008,42036.347280334725,34866.25941422594,memory CD8+ T cells
40099,42425.06504065041,34595.85365853659,stromal cells
42220,41108.64349376114,35325.61140819964,Ki67+ tumor cells 
42558,40539.46062052506,35446.095465393795,NK
44421,42389.19642857143,34469.41071428572,stromal cells
45437,41824.33526011561,34386.63005780347,memory CD8+ T cells
46439,42591.88690476191,34364.482142857145,stromal cells
48435,40997.5873221216,35260.45407503234,tumor cells
48893,40982.375,35098.24038461538,tumor cells
50332,41797.93442622951,34508.44262295082,stromal cells
50750,40397.62083333333,35508.90416666667,stromal cells
51829,41894.0652173913,34580.34782608696,stromal cells
52035,41847.33684210527,34588.04210526316,stromal cells
52862,42461.6261682243,34591.64485981308,stromal cells
52972,42648.9860724234,34318.715877437324,effector CD8+ T cells
54134,41836.12658227848,34436.917721518985,stromal cells
54266,39562.55844155844,36707.84415584416,stromal cells
58473,42773.91071428572,34155.19196428572,effector CD8+ T cells
58752,42269.16795865633,34508.105943152455,stromal cells
59147,39681.71300448431,36755.34977578475,stromal cells
59704,40177.57142857143,35572.27857142857,stromal cells
61519,41674.66560509554,35050.04458598726,regulatory T cells
62033,42516.03067484663,34645.8527607362,NK
63330,41258.3595505618,35088.53370786517,memory CD8+ T cells
63768,39778.480818414326,36577.803069053705,stromal cells
64452,42650.070967741936,34566.55483870968,stromal cells
64731,40601.02352941177,35530.60588235294,stromal cells
67373,40184.41333333333,35995.90666666667,Unknown
67911,40542.07207207207,35591.67567567567,stromal cells
68328,40324.055865921786,35660.58659217877,stromal cells
70268,41228.42792792793,35092.04954954955,memory CD8+ T cells
71410,42765.622699386506,34111.0490797546,stromal cells
73853,42535.21276595745,34451.75886524823,Unknown
74827,40126.82222222223,35727.54222222222,stromal cells
77827,40845.9792746114,35192.51813471503,stromal cells
78098,39658.04929577465,36947.80281690141,Unknown
80675,39679.70807453416,36679.2049689441,stromal cells
81001,42434.50568181818,34304.494318181816,stromal cells
81110,42727.9595959596,34132.18686868687,stromal cells
81439,41202.22794117647,35145.279411764706,memory CD8+ T cells
81764,42558.13008130081,34152.743902439026,stromal cells
82174,41177.36156351792,35010.91693811075,Ki67+ tumor cells 
82280,40922.29865771812,35487.87248322148,stromal cells
83824,42747.42142857143,34180.921428571426,stromal cells
85865,42298.46153846154,34533.9020979021,stromal cells
86164,39578.362007168456,36574.52329749104,stromal cells
86180,42354.27118644068,34293.44406779661,stromal cells
87494,41970.30708661417,34647.88976377953,stromal cells
88514,41483.96363636364,34709.181818181816,stromal cells
89173,41854.28846153846,34367.879807692305,memory CD8+ T cells
90232,42778.66243654822,34074.79187817259,stromal cells
90427,40317.23899371069,35449.52327044025,Ki67+ tumor cells 
91871,41230.496,35244.984,stromal cells
92204,40949.85875706215,35169.706214689264,NK
92427,41499.45625,35078.65,memory CD4+ T cells
93697,42177.86577181208,34488.57046979866,stromal cells
97879,42202.48148148148,34201.78518518519,stromal cells
98824,39644.44160583941,36716.93065693431,dendritic cells
100185,41051.1695652174,35122.8347826087,NK
100186,41497.69130434783,34665.004347826085,stromal cells
100279,40975.36138613861,35419.79702970297,NK
100361,41411.206422018346,34758.489296636086,Ki67+ tumor cells 
101147,39828.99130434782,36571.184347826085,stromal cells
103436,40332.12096774193,35560.4879032258,NK
104137,42140.810218978106,34655.788321167885,stromal cells
104815,42303.87664041995,34736.299212598424,M1/M0 macrophages
107836,42724.94140625,34341.890625,stromal cells
108334,41834.40077821012,34410.120622568094,stromal cells
108373,41725.40486409156,35050.32474964234,Ki67+ tumor cells 
109933,39556.52927927928,36821.76126126127,M2 macrophages
110876,39697.95331695332,36499.73218673219,stromal cells
111627,42531.93790849673,34211.65032679738,stromal cells
112488,42330.390625,34608.2109375,stromal cells
112982,41094.49344978166,35079.49344978166,tumor cells
114334,42094.46534653466,34389.50495049505,stromal cells
114733,41618.64651162791,34564.64651162791,stromal cells
115712,39685.63112391931,36702.47550432276,stromal cells
115862,42816.603222557904,34379.53373615307,Ki67+ tumor cells 
115943,42127.56351791531,34380.34853420196,stromal cells
116670,42306.7023255814,34354.679069767444,stromal cells
118485,39300.015625,37110.33854166666,stromal cells
119380,41812.745,34854.225,NK
120379,42243.147540983606,34632.27868852459,stromal cells
120457,41755.84033613445,34659.65546218488,stromal cells
121375,42404.65,34203.36666666667,stromal cells
122289,42649.231292517004,34447.3537414966,stromal cells
122410,41975.32113821138,34839.150406504064,stromal cells
122554,41079.38335158817,35362.952902519166,Ki67+ tumor cells 
123280,40345.5421686747,35830.75903614458,dendritic cells
124896,41808.485714285714,34599.65714285714,stromal cells
127033,41900.145569620254,34527.23417721519,memory CD4+ T cells
127628,39406.5534351145,37171.70992366412,stromal cells
127923,42034.879310344826,34500.275862068964,M2 macrophages
129015,41249.51773049645,35240.425531914894,NK
129833,42000.02962962963,34814.91851851852,stromal cells
130183,42522.72180451128,34143.08270676692,stromal cells
130906,40177.99180327869,35802.31420765027,stromal cells
132368,41493.61202185792,34797.15300546448,stromal cells
132521,41482.9012345679,34771.27160493827,memory CD4+ T cells
134061,42070.03738317757,34404.18691588785,memory CD8+ T cells
135419,39575.508,36652.444,stromal cells
137793,39583.88424437299,37018.15112540193,regulatory T cells
138387,40734.1164021164,35267.51587301587,tumor cells
138933,40213.73356401384,35856.73702422145,stromal cells
138950,40923.17424242424,35390.93939393939,memory CD8+ T cells
140675,42186.43783783784,34179.02702702703,Ki67+ tumor cells 
140861,39578.08069164265,36824.51008645533,M2 macrophages
141066,39495.02717391304,36760.52717391304,stromal cells
142188,42139.772972972976,34521.42702702703,stromal cells
143903,41489.14655172414,35092.48275862069,NK
146319,41467.01503759399,34832.721804511275,Unknown
146493,42400.935,34305.0,stromal cells
146646,41754.72916666666,34671.244791666664,NK
146828,41189.45238095238,35240.3253968254,stromal cells
147192,42263.81147540984,34238.00409836065,stromal cells
147568,41050.2131147541,35080.83606557377,tumor cells
151001,42457.028735632186,34528.2183908046,stromal cells
151090,40140.60769230769,36037.08461538461,stromal cells
151171,40630.77415143603,35362.53785900783,Ki67+ tumor cells 
152120,40929.28125,35198.234375,stromal cells
153794,40381.99418604651,35700.36627906977,stromal cells
154747,41554.495495495496,35041.414414414416,stromal cells
155314,40263.93303571428,35806.765625,stromal cells
155354,39880.37837837838,36500.88648648649,stromal cells
155495,42172.45338983051,34835.20127118644,Ki67+ tumor cells 
156508,42412.907103825135,34159.229508196724,stromal cells
157540,40302.881944444445,35869.770833333336,Unknown
157733,42680.8,34110.75555555556,stromal cells
159215,39421.88679245283,36861.55974842767,stromal cells
159446,40683.21086261981,35666.61341853035,stromal cells
162430,42605.05389221557,34304.520958083835,stromal cells
163012,42105.096774193546,34379.06989247312,stromal cells
163686,42338.92792792793,34633.81981981982,stromal cells
165114,39792.48401826484,36483.70319634703,stromal cells
165517,42691.88826815642,34567.523277467415,stromal cells
166853,40006.52112676056,36223.41784037559,stromal cells
167618,39586.61409395973,36680.34563758389,stromal cells
169036,41755.15343915344,34490.021164021164,stromal cells
169083,40601.14747736093,35665.65588615782,tumor cells
169238,40945.04090909091,35242.45909090909,regulatory T cells
