CellID,X_centroid,Y_centroid,phenotype
497,37805.461604095566,37705.84641638225,Ki67+ tumor cells 
788,38318.89207650273,36284.99521857924,Ki67+ tumor cells 
1061,37372.88016194332,37436.3020242915,Ki67+ tumor cells 
1419,38288.0602739726,36120.16438356164,Ki67+ tumor cells 
1619,36965.65874524715,36481.829847908746,M1/M0 macrophages
2180,37895.9183467742,35837.253024193546,Ki67+ tumor cells 
2890,38130.013114754096,35571.15573770492,Ki67+ tumor cells 
3577,38190.484656084656,36263.45502645503,Ki67+ tumor cells 
3741,37453.41094295693,37461.35855646101,Ki67+ tumor cells 
3837,37917.28325123153,35657.25451559934,Ki67+ tumor cells 
4804,36845.98987341772,37410.23417721519,Ki67+ tumor cells 
4934,38074.06701030928,36751.77319587629,stromal cells
4960,37611.177830940986,35989.80940988836,Ki67+ tumor cells 
5809,36429.92258064516,37696.576129032255,Ki67+ tumor cells 
6054,37215.3295148248,36575.42520215634,tumor cells
6151,37941.05,35862.20662650603,Ki67+ tumor cells 
6902,38277.26185704743,36285.69004676019,Ki67+ tumor cells 
7024,37455.98783106657,35471.199713672155,Ki67+ tumor cells 
7086,37157.97936016512,35522.94220846233,Ki67+ tumor cells 
7209,37381.24504623514,37561.4537648613,Ki67+ tumor cells 
7948,38367.8587196468,36172.36203090508,Ki67+ tumor cells 
7983,37972.00074460164,37657.92628443783,Ki67+ tumor cells 
8048,37867.81030927835,36471.85154639175,Ki67+ tumor cells 
8083,37940.76569885213,36963.2653612424,tumor cells
8720,37535.1703601108,37390.40581717451,Ki67+ tumor cells 
8736,38832.16242661448,36058.66731898239,Ki67+ tumor cells 
9237,38177.11111111111,35788.30740740741,Ki67+ tumor cells 
9830,37769.12284482759,35924.71120689655,Ki67+ tumor cells 
10229,37813.98339160839,35955.32867132867,Ki67+ tumor cells 
10841,36579.23259259259,37754.76888888889,Ki67+ tumor cells 
11254,37535.81477927064,36381.81573896353,Ki67+ tumor cells 
12040,36743.53005008347,36620.6101836394,Ki67+ tumor cells 
12482,37057.55963302752,36954.69230769231,tumor cells
12593,36932.213502109706,37488.15021097047,Ki67+ tumor cells 
12618,36902.57575757576,37386.00275482094,Ki67+ tumor cells 
12747,37933.99504643963,37633.225386996906,Ki67+ tumor cells 
12893,37919.77286135693,35789.28908554572,Ki67+ tumor cells 
12927,36974.14270152505,37156.2962962963,tumor cells
13136,37007.984375,35538.300480769234,Ki67+ tumor cells 
13629,37756.97570456754,36328.55879494655,Ki67+ tumor cells 
14639,37728.81094527363,36749.909342178,Ki67+ tumor cells 
14664,37173.778523489935,36660.55436241611,Ki67+ tumor cells 
14796,36665.486175115206,36687.49078341014,tumor cells
15056,37328.52497225305,36844.50166481687,Ki67+ tumor cells 
15089,37431.74249317562,37531.65969062784,Ki67+ tumor cells 
15196,37503.1209439528,36544.49557522124,Ki67+ tumor cells 
15304,37983.56257594168,36932.671931956254,Ki67+ tumor cells 
15427,37609.62567421791,36444.94120819849,Ki67+ tumor cells 
15603,36714.8417266187,36856.78417266187,tumor cells
15651,37229.99194630873,35467.2,Ki67+ tumor cells 
15917,37639.92333333333,36213.29833333333,tumor cells
16199,36713.137667304014,36437.349904397706,Ki67+ tumor cells 
16253,37678.35587583148,37597.02106430155,Ki67+ tumor cells 
16656,38029.81516095535,35706.59086188993,Ki67+ tumor cells 
16896,37710.56747404845,35872.8615916955,Ki67+ tumor cells 
17343,38374.05925925926,36321.72592592592,effector CD8+ T cells
17581,38326.09244791666,35705.244791666664,Ki67+ tumor cells 
17714,38707.66300940439,35625.366771159875,Ki67+ tumor cells 
18111,37191.15552995392,37831.05299539171,Ki67+ tumor cells 
18636,37888.82110091744,37084.3623853211,Ki67+ tumor cells 
19130,36748.745433789954,37242.07191780822,tumor cells
19399,36943.50162513543,37195.27952329361,Ki67+ tumor cells 
19622,38682.23435843054,35554.80169671262,Ki67+ tumor cells 
19982,37242.38959390863,36313.8845177665,Ki67+ tumor cells 
20297,37405.97356321839,37702.3908045977,tumor cells
20691,37855.83672316384,37720.85875706215,Ki67+ tumor cells 
20843,38532.18175720992,36107.18175720992,Ki67+ tumor cells 
20928,37662.37226277372,35651.40875912409,Ki67+ tumor cells 
20957,36540.72755417957,37449.65634674922,Ki67+ tumor cells 
20959,38372.18315018315,36454.191697191694,Ki67+ tumor cells 
21043,37826.08371040724,36990.22850678733,M1/M0 macrophages
21585,37166.52155887231,36513.49170812604,effector CD8+ T cells
21719,37759.334242837656,35721.83083219645,Ki67+ tumor cells 
22507,37274.16022099448,36460.235727440144,Ki67+ tumor cells 
22596,38010.3435828877,36451.020053475935,tumor cells
22825,37877.26643894108,36301.85567890692,Ki67+ tumor cells 
22917,38108.31111111112,36051.31407407407,Ki67+ tumor cells 
22976,38861.275390625,36119.341145833336,Ki67+ tumor cells 
23368,37166.06488991889,36471.74275782155,Ki67+ tumor cells 
23526,37192.54382826476,35628.45259391771,Ki67+ tumor cells 
23847,38319.08309659091,36332.22230113636,Ki67+ tumor cells 
23853,37402.15864022663,36162.90084985836,Ki67+ tumor cells 
24080,37461.516886930985,36479.68281938326,Ki67+ tumor cells 
24124,38006.55970829535,36414.26162260711,Ki67+ tumor cells 
24169,39046.371607515655,35623.705636743216,Ki67+ tumor cells 
24242,37729.75191424196,37460.21592649311,Ki67+ tumor cells 
24321,37892.81196581197,35892.23504273504,Ki67+ tumor cells 
24685,36843.497568881685,36691.24068071313,Ki67+ tumor cells 
25246,37555.77209302325,37416.56821705426,Ki67+ tumor cells 
25266,37681.47791164659,37358.0578313253,Ki67+ tumor cells 
25661,36690.87197501952,37587.09523809524,tumor cells
25670,37446.16981132075,36792.500628930815,tumor cells
26261,37508.95518867925,37764.21462264151,Ki67+ tumor cells 
26366,37765.72302158274,35758.10791366907,tumor cells
26606,37565.65820642978,35700.917089678514,Ki67+ tumor cells 
26805,38338.47444698704,36227.705568268495,Ki67+ tumor cells 
27194,36998.742444152434,37131.99080157688,tumor cells
27562,37381.57744468237,37613.235546038544,Ki67+ tumor cells 
27593,36925.90445026178,37041.48560209424,Ki67+ tumor cells 
28104,37300.60272108844,36210.34693877551,Ki67+ tumor cells 
28121,37516.685131195336,37957.06778425656,Ki67+ tumor cells 
28153,38137.61752433936,36872.36648122392,Ki67+ tumor cells 
28215,37721.30027297543,36072.45040946315,Ki67+ tumor cells 
29364,37770.07757404796,37630.15373765867,Ki67+ tumor cells 
29542,37456.85160680529,37883.723062381854,Ki67+ tumor cells 
29635,37010.754,37171.254,tumor cells
29924,37703.76408076514,36506.02975557917,Ki67+ tumor cells 
29946,37229.1983723296,35422.503560529,Ki67+ tumor cells 
30234,36645.79345088161,36913.25692695214,tumor cells
30467,37706.7,37230.7203125,effector CD8+ T cells
30949,36610.07083825266,36853.91499409681,Ki67+ tumor cells 
31460,36701.80283911672,36789.35646687697,Ki67+ tumor cells 
31725,37504.33424159855,35959.13442325159,Ki67+ tumor cells 
31852,37031.90909090909,37218.006493506495,tumor cells
32169,36654.53698224852,36790.02958579882,Ki67+ tumor cells 
32680,36780.456577816,36546.63972484953,Ki67+ tumor cells 
33062,38295.49785867237,36250.38543897216,Ki67+ tumor cells 
33104,37839.22379603399,35955.03399433428,Ki67+ tumor cells 
33587,37974.83996023857,36480.533797216696,Ki67+ tumor cells 
34219,37352.770531400965,38048.52173913043,tumor cells
34525,36762.50088183422,36304.03703703704,Ki67+ tumor cells 
34575,38142.27977839335,35979.31024930748,Ki67+ tumor cells 
34678,37866.50928961748,36830.50382513661,Ki67+ tumor cells 
34740,36631.47228637413,37646.13279445728,tumor cells
34746,36538.31787439613,37766.25603864734,Ki67+ tumor cells 
34814,37897.61834561834,36737.28665028665,Ki67+ tumor cells 
35135,38037.144036697246,36383.74220183486,Ki67+ tumor cells 
35333,37186.89098116948,36990.260654112986,tumor cells
35599,36841.54726368159,36436.27611940299,Ki67+ tumor cells 
36307,36726.28183716075,36738.22755741127,tumor cells
36837,38015.80731364276,35877.288326300986,Ki67+ tumor cells 
37100,38814.082278481015,35785.049367088606,Ki67+ tumor cells 
37140,38020.0779753762,35489.82216142271,Ki67+ tumor cells 
37218,37692.48657718121,36873.67785234899,tumor cells
37616,37758.29462571977,36003.67850287908,Ki67+ tumor cells 
38168,37561.106060606064,36050.64696969697,Ki67+ tumor cells 
38254,36950.05408653846,35344.01442307692,tumor cells
38456,38058.16597510374,35620.02489626556,NK
38632,36670.579599618686,36837.65204957102,Ki67+ tumor cells 
38749,38782.8359375,36151.8203125,stromal cells
39074,36567.71036846616,37651.9588688946,Ki67+ tumor cells 
39136,36875.11111111111,37860.24848484848,tumor cells
39544,36810.56623931624,37208.34330484331,Ki67+ tumor cells 
39919,38056.2454308094,35754.03524804178,Ki67+ tumor cells 
40158,36575.68733509235,37812.84696569921,Ki67+ tumor cells 
40922,37179.35164835165,36936.38461538462,tumor cells
41178,37562.80095923261,35563.721822541964,stromal cells
41255,37700.38722826087,36044.046195652176,Ki67+ tumor cells 
41348,36850.36918604651,36095.57848837209,stromal cells
41371,37188.23222748815,36339.63744075829,stromal cells
41760,38147.80528052805,35806.88778877888,stromal cells
41762,38642.401360544216,35832.51311953353,Ki67+ tumor cells 
41926,37802.73741007194,36828.56384892087,Ki67+ tumor cells 
42010,37638.43251231528,36699.8433497537,Ki67+ tumor cells 
42133,37639.18734177215,36148.5253164557,Ki67+ tumor cells 
42591,36485.48697621744,37558.97395243488,Ki67+ tumor cells 
43264,38005.063180827885,35532.46840958606,Ki67+ tumor cells 
43475,37772.88898450947,36128.63339070568,Ki67+ tumor cells 
43719,37673.08787878788,37561.76818181818,tumor cells
44005,37220.08905380334,35725.445269016695,Ki67+ tumor cells 
44546,37833.43087557604,36462.22350230415,tumor cells
44721,39150.28836889195,35776.06813489332,Ki67+ tumor cells 
44762,37906.10950764007,37594.76994906621,Ki67+ tumor cells 
45714,37584.12310286678,35675.07419898819,Ki67+ tumor cells 
46009,38068.085626911314,35960.09327217125,Ki67+ tumor cells 
46035,37836.83816425121,36952.69323671498,Ki67+ tumor cells 
46335,37170.198675496686,35655.67991169978,Ki67+ tumor cells 
46394,38889.3253968254,36077.55357142857,Ki67+ tumor cells 
46605,38551.54278074866,35708.49197860963,Ki67+ tumor cells 
46862,37153.33608247423,35183.1793814433,tumor cells
46954,37497.34825870647,35392.86815920398,stromal cells
47288,38823.333333333336,35557.27962085308,Ki67+ tumor cells 
47443,37344.54440433213,35262.59566787004,Ki67+ tumor cells 
47523,37554.795411089865,37000.50669216061,tumor cells
47782,36649.84577114428,37287.73134328358,Ki67+ tumor cells 
47997,37503.19587628866,38000.561282932416,Ki67+ tumor cells 
48291,36477.3751438435,37435.65362485615,Ki67+ tumor cells 
48582,36930.71613832853,37859.75648414985,tumor cells
48717,38353.438066465256,36273.22860020141,Ki67+ tumor cells 
48940,39121.99204545454,35802.26534090909,Ki67+ tumor cells 
48963,38447.82191780822,36173.63584474886,Ki67+ tumor cells 
48987,38983.03804347826,35780.03940217391,Ki67+ tumor cells 
48993,37518.10899653979,36357.666089965394,Ki67+ tumor cells 
49310,37354.63763837639,36891.95350553506,tumor cells
49661,38357.4222668004,35722.799398194584,Ki67+ tumor cells 
49742,37846.0775862069,36210.504310344826,tumor cells
49874,36581.06825938567,37099.40784982935,Ki67+ tumor cells 
49943,37256.27635960045,37689.93895671476,Ki67+ tumor cells 
49946,36855.479717813054,37156.80599647266,Ki67+ tumor cells 
50316,36731.55913978495,36692.09247311828,stromal cells
50431,36934.53003533569,37640.086572438166,Ki67+ tumor cells 
50692,36508.93713620489,37805.388824214206,tumor cells
51090,38647.54,35705.81052631579,Ki67+ tumor cells 
51262,37961.22666666667,35724.91523809524,Ki67+ tumor cells 
51635,36902.32802937576,37016.8788249694,Ki67+ tumor cells 
52286,38489.356,35586.505333333334,tumor cells
