,topology_dysplasia_18_clean.csv,topology_dysplasia_5_clean.csv,topology_dysplasia_14_clean.csv,topology_dysplasia_13_clean.csv,topology_dysplasia_17_clean.csv,topology_dysplasia_10_clean.csv,topology_dysplasia_11_clean.csv,topology_dysplasia_7_clean.csv,topology_dysplasia_19_clean.csv,topology_dysplasia_8_clean.csv,topology_dysplasia_2_clean.csv,topology_dysplasia_9_clean.csv,topology_dysplasia_12_clean.csv,topology_dysplasia_1_clean.csv,topology_dysplasia_16_clean.csv,topology_dysplasia_15_clean.csv,topology_dysplasia_4_clean.csv,topology_dysplasia_3_clean.csv,topology_dysplasia_6_clean.csv
topology_dysplasia_18_clean.csv,1.1117739896827327e-308,inf,inf,inf,inf,inf,inf,inf,inf,13.261165904377023,inf,inf,inf,inf,inf,inf,inf,inf,inf
topology_dysplasia_5_clean.csv,inf,5.673731638872266e-309,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
topology_dysplasia_14_clean.csv,inf,inf,9.806400976199316e-309,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
topology_dysplasia_13_clean.csv,inf,inf,inf,1.2910439945057675e-308,inf,inf,6.50812276301026,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
topology_dysplasia_17_clean.csv,inf,inf,inf,inf,1.543260749412e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
topology_dysplasia_10_clean.csv,inf,inf,inf,inf,inf,9.62108323031693e-309,inf,inf,inf,inf,11.081923666629208,inf,inf,inf,inf,inf,inf,inf,inf
topology_dysplasia_11_clean.csv,inf,inf,inf,6.50812276301026,inf,inf,1.987029294837658e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
topology_dysplasia_7_clean.csv,inf,inf,inf,inf,inf,inf,inf,8.61361910139715e-309,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
topology_dysplasia_19_clean.csv,inf,inf,inf,inf,inf,inf,inf,inf,1.0596061484198033e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
topology_dysplasia_8_clean.csv,13.261165904377023,inf,inf,inf,inf,inf,inf,inf,inf,6.889071359088786e-309,inf,inf,inf,inf,inf,inf,inf,inf,inf
topology_dysplasia_2_clean.csv,inf,inf,inf,inf,inf,11.081923666629208,inf,inf,inf,inf,2.209385622712872e-308,inf,inf,inf,inf,inf,inf,inf,inf
topology_dysplasia_9_clean.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.879842083399386e-309,inf,inf,inf,inf,inf,inf,inf
topology_dysplasia_12_clean.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.397937472761956e-309,inf,inf,inf,inf,inf,inf
topology_dysplasia_1_clean.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0666675654808255e-308,inf,inf,inf,inf,inf
topology_dysplasia_16_clean.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.4503062779378903e-308,inf,inf,inf,inf
topology_dysplasia_15_clean.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.5102513817652584e-308,inf,inf,inf
topology_dysplasia_4_clean.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.72738532449488e-308,inf,inf
topology_dysplasia_3_clean.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9.53599611019776e-309,inf
topology_dysplasia_6_clean.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.2201146230673006e-308
